Price per carat,Size,Colour,Clarity,Month,Year,Rapper,Rappri
13248,1.01-1.09,D,IF,Jan,2017,-36,20700
10560,1.01-1.09,D,VVS1,Jan,2017,-36,16500
9072,1.01-1.09,D,VVS2,Jan,2017,-37,14400
8228,1.01-1.09,D,VS1,Jan,2017,-32,12100
7490,1.01-1.09,D,VS2,Jan,2017,-30,10700
5822,1.01-1.09,D,SI1,Jan,2017,-29,8200
4761,1.01-1.09,D,SI2,Jan,2017,-31,6900
3266.5,1.01-1.09,D,I1,Jan,2017,-30.5,4700
10048,1.01-1.09,E,IF,Jan,2017,-36,15700
9152,1.01-1.09,E,VVS1,Jan,2017,-36,14300
7839,1.01-1.09,E,VVS2,Jan,2017,-33,11700
7383,1.01-1.09,E,VS1,Jan,2017,-31,10700
6460,1.01-1.09,E,VS2,Jan,2017,-32,9500
5372,1.01-1.09,E,SI1,Jan,2017,-32,7900
4422,1.01-1.09,E,SI2,Jan,2017,-33,6600
3127.5,1.01-1.09,E,I1,Jan,2017,-30.5,4500
8512,1.01-1.09,F,IF,Jan,2017,-36,13300
8280,1.01-1.09,F,VVS1,Jan,2017,-31,12000
7276,1.01-1.09,F,VVS2,Jan,2017,-32,10700
6860,1.01-1.09,F,VS1,Jan,2017,-30,9800
6192,1.01-1.09,F,VS2,Jan,2017,-28,8600
5244,1.01-1.09,F,SI1,Jan,2017,-31,7600
4284,1.01-1.09,F,SI2,Jan,2017,-32,6300
3058,1.01-1.09,F,I1,Jan,2017,-30.5,4400
7150,1.01-1.09,G,IF,Jan,2017,-35,11000
7035,1.01-1.09,G,VVS1,Jan,2017,-33,10500
6365,1.01-1.09,G,VVS2,Jan,2017,-33,9500
5934,1.01-1.09,G,VS1,Jan,2017,-31,8600
5530,1.01-1.09,G,VS2,Jan,2017,-30,7900
4615,1.01-1.09,G,SI1,Jan,2017,-35,7100
3953,1.01-1.09,G,SI2,Jan,2017,-33,5900
2919,1.01-1.09,G,I1,Jan,2017,-30.5,4200
5785,1.01-1.09,H,IF,Jan,2017,-35,8900
5742,1.01-1.09,H,VVS1,Jan,2017,-34,8700
5670,1.01-1.09,H,VVS2,Jan,2017,-30,8100
5168,1.01-1.09,H,VS1,Jan,2017,-32,7600
4896,1.01-1.09,H,VS2,Jan,2017,-32,7200
4355,1.01-1.09,H,SI1,Jan,2017,-33,6500
3584,1.01-1.09,H,SI2,Jan,2017,-36,5600
2780,1.01-1.09,H,I1,Jan,2017,-30.5,4000
4940,1.01-1.09,I,IF,Jan,2017,-35,7600
4736,1.01-1.09,I,VVS1,Jan,2017,-36,7400
4554,1.01-1.09,I,VVS2,Jan,2017,-34,6900
4422,1.01-1.09,I,VS1,Jan,2017,-34,6700
4288,1.01-1.09,I,VS2,Jan,2017,-33,6400
3840,1.01-1.09,I,SI1,Jan,2017,-36,6000
3276,1.01-1.09,I,SI2,Jan,2017,-37,5200
2502,1.01-1.09,I,I1,Jan,2017,-30.5,3600
4030,1.01-1.09,J,IF,Jan,2017,-35,6200
3900,1.01-1.09,J,VVS1,Jan,2017,-35,6000
3835,1.01-1.09,J,VVS2,Jan,2017,-35,5900
3762,1.01-1.09,J,VS1,Jan,2017,-34,5700
3575,1.01-1.09,J,VS2,Jan,2017,-35,5500
3315,1.01-1.09,J,SI1,Jan,2017,-35,5100
3008,1.01-1.09,J,SI2,Jan,2017,-36,4700
2064,1.01-1.09,J,I1,Jan,2017,-35.5,3200
3315,1.01-1.09,K,IF,Jan,2017,-35,5100
3185,1.01-1.09,K,VVS1,Jan,2017,-35,4900
3102,1.01-1.09,K,VVS2,Jan,2017,-34,4700
2970,1.01-1.09,K,VS1,Jan,2017,-34,4500
2795,1.01-1.09,K,VS2,Jan,2017,-35,4300
2624,1.01-1.09,K,SI1,Jan,2017,-36,4100
2318,1.01-1.09,K,SI2,Jan,2017,-39,3800
1935,1.01-1.09,K,I1,Jan,2017,-35.5,3000
2944,1.01-1.09,L,IF,Jan,2017,-36,4600
2860,1.01-1.09,L,VVS1,Jan,2017,-35,4400
2838,1.01-1.09,L,VVS2,Jan,2017,-34,4300
2706,1.01-1.09,L,VS1,Jan,2017,-34,4100
2574,1.01-1.09,L,VS2,Jan,2017,-34,3900
2340,1.01-1.09,L,SI1,Jan,2017,-35,3600
2244,1.01-1.09,L,SI2,Jan,2017,-34,3400
1806,1.01-1.09,L,I1,Jan,2017,-35.5,2800
2747,1.01-1.09,M,IF,Jan,2017,-33,4100
2613,1.01-1.09,M,VVS1,Jan,2017,-33,3900
2516,1.01-1.09,M,VVS2,Jan,2017,-32,3700
2448,1.01-1.09,M,VS1,Jan,2017,-32,3600
2312,1.01-1.09,M,VS2,Jan,2017,-32,3400
2144,1.01-1.09,M,SI1,Jan,2017,-33,3200
1943,1.01-1.09,M,SI2,Jan,2017,-33,2900
1612.5,1.01-1.09,M,I1,Jan,2017,-35.5,2500
12834,1.01-1.09,D,IF,Feb,2017,-38,20700
10395,1.01-1.09,D,VVS1,Feb,2017,-37,16500
9072,1.01-1.09,D,VVS2,Feb,2017,-37,14400
7986,1.01-1.09,D,VS1,Feb,2017,-34,12100
7276,1.01-1.09,D,VS2,Feb,2017,-32,10700
5740,1.01-1.09,D,SI1,Feb,2017,-30,8200
4623,1.01-1.09,D,SI2,Feb,2017,-33,6900
3266.5,1.01-1.09,D,I1,Feb,2017,-30.5,4700
9891,1.01-1.09,E,IF,Feb,2017,-37,15700
9009,1.01-1.09,E,VVS1,Feb,2017,-37,14300
7605,1.01-1.09,E,VVS2,Feb,2017,-35,11700
7169,1.01-1.09,E,VS1,Feb,2017,-33,10700
6365,1.01-1.09,E,VS2,Feb,2017,-33,9500
5293,1.01-1.09,E,SI1,Feb,2017,-33,7900
4356,1.01-1.09,E,SI2,Feb,2017,-34,6600
3127.5,1.01-1.09,E,I1,Feb,2017,-30.5,4500
8379,1.01-1.09,F,IF,Feb,2017,-37,13300
8160,1.01-1.09,F,VVS1,Feb,2017,-32,12000
7169,1.01-1.09,F,VVS2,Feb,2017,-33,10700
6762,1.01-1.09,F,VS1,Feb,2017,-31,9800
6020,1.01-1.09,F,VS2,Feb,2017,-30,8600
5244,1.01-1.09,F,SI1,Feb,2017,-31,7600
4221,1.01-1.09,F,SI2,Feb,2017,-33,6300
3058,1.01-1.09,F,I1,Feb,2017,-30.5,4400
6930,1.01-1.09,G,IF,Feb,2017,-37,11000
6825,1.01-1.09,G,VVS1,Feb,2017,-35,10500
6270,1.01-1.09,G,VVS2,Feb,2017,-34,9500
5848,1.01-1.09,G,VS1,Feb,2017,-32,8600
5372,1.01-1.09,G,VS2,Feb,2017,-32,7900
4686,1.01-1.09,G,SI1,Feb,2017,-34,7100
3953,1.01-1.09,G,SI2,Feb,2017,-33,5900
2919,1.01-1.09,G,I1,Feb,2017,-30.5,4200
5785,1.01-1.09,H,IF,Feb,2017,-35,8900
5742,1.01-1.09,H,VVS1,Feb,2017,-34,8700
5427,1.01-1.09,H,VVS2,Feb,2017,-33,8100
5092,1.01-1.09,H,VS1,Feb,2017,-33,7600
4896,1.01-1.09,H,VS2,Feb,2017,-32,7200
4355,1.01-1.09,H,SI1,Feb,2017,-33,6500
3640,1.01-1.09,H,SI2,Feb,2017,-35,5600
2780,1.01-1.09,H,I1,Feb,2017,-30.5,4000
4788,1.01-1.09,I,IF,Feb,2017,-37,7600
4736,1.01-1.09,I,VVS1,Feb,2017,-36,7400
4485,1.01-1.09,I,VVS2,Feb,2017,-35,6900
4422,1.01-1.09,I,VS1,Feb,2017,-34,6700
4288,1.01-1.09,I,VS2,Feb,2017,-33,6400
3900,1.01-1.09,I,SI1,Feb,2017,-35,6000
3328,1.01-1.09,I,SI2,Feb,2017,-36,5200
2502,1.01-1.09,I,I1,Feb,2017,-30.5,3600
3906,1.01-1.09,J,IF,Feb,2017,-37,6200
3840,1.01-1.09,J,VVS1,Feb,2017,-36,6000
3776,1.01-1.09,J,VVS2,Feb,2017,-36,5900
3705,1.01-1.09,J,VS1,Feb,2017,-35,5700
3575,1.01-1.09,J,VS2,Feb,2017,-35,5500
3315,1.01-1.09,J,SI1,Feb,2017,-35,5100
3008,1.01-1.09,J,SI2,Feb,2017,-36,4700
2064,1.01-1.09,J,I1,Feb,2017,-35.5,3200
3213,1.01-1.09,K,IF,Feb,2017,-37,5100
3136,1.01-1.09,K,VVS1,Feb,2017,-36,4900
3102,1.01-1.09,K,VVS2,Feb,2017,-34,4700
2970,1.01-1.09,K,VS1,Feb,2017,-34,4500
2795,1.01-1.09,K,VS2,Feb,2017,-35,4300
2665,1.01-1.09,K,SI1,Feb,2017,-35,4100
2394,1.01-1.09,K,SI2,Feb,2017,-37,3800
1935,1.01-1.09,K,I1,Feb,2017,-35.5,3000
2944,1.01-1.09,L,IF,Feb,2017,-36,4600
2860,1.01-1.09,L,VVS1,Feb,2017,-35,4400
2838,1.01-1.09,L,VVS2,Feb,2017,-34,4300
2706,1.01-1.09,L,VS1,Feb,2017,-34,4100
2535,1.01-1.09,L,VS2,Feb,2017,-35,3900
2376,1.01-1.09,L,SI1,Feb,2017,-34,3600
2210,1.01-1.09,L,SI2,Feb,2017,-35,3400
1806,1.01-1.09,L,I1,Feb,2017,-35.5,2800
2665,1.01-1.09,M,IF,Feb,2017,-35,4100
2613,1.01-1.09,M,VVS1,Feb,2017,-33,3900
2516,1.01-1.09,M,VVS2,Feb,2017,-32,3700
2412,1.01-1.09,M,VS1,Feb,2017,-33,3600
2278,1.01-1.09,M,VS2,Feb,2017,-33,3400
2112,1.01-1.09,M,SI1,Feb,2017,-34,3200
1914,1.01-1.09,M,SI2,Feb,2017,-34,2900
1612.5,1.01-1.09,M,I1,Feb,2017,-35.5,2500
12937.5,1.01-1.09,D,IF,Apr,2017,-37.5,20700
10477.5,1.01-1.09,D,VVS1,Apr,2017,-36.5,16500
9432,1.01-1.09,D,VVS2,Apr,2017,-34.5,14400
8107,1.01-1.09,D,VS1,Apr,2017,-33,12100
7276,1.01-1.09,D,VS2,Apr,2017,-32,10700
5453,1.01-1.09,D,SI1,Apr,2017,-33.5,8200
4519.5,1.01-1.09,D,SI2,Apr,2017,-34.5,6900
3266.5,1.01-1.09,D,I1,Apr,2017,-30.5,4700
9655.5,1.01-1.09,E,IF,Apr,2017,-38.5,15700
9080.5,1.01-1.09,E,VVS1,Apr,2017,-36.5,14300
7605,1.01-1.09,E,VVS2,Apr,2017,-35,11700
7115.5,1.01-1.09,E,VS1,Apr,2017,-33.5,10700
6507.5,1.01-1.09,E,VS2,Apr,2017,-31.5,9500
