Price per Carat,Size,Colour,Clarity
13248,0,0,0
10560,0,0,1
9072,0,0,2
8228,0,0,3
7490,0,0,4
5822,0,0,5
4761,0,0,6
3266.5,0,0,7
10048,0,1,0
9152,0,1,1
7839,0,1,2
7383,0,1,3
6460,0,1,4
5372,0,1,5
4422,0,1,6
3127.5,0,1,7
8512,0,2,0
8280,0,2,1
7276,0,2,2
6860,0,2,3
6192,0,2,4
5244,0,2,5
4284,0,2,6
3058,0,2,7
7150,0,3,0
7035,0,3,1
6365,0,3,2
5934,0,3,3
5530,0,3,4
4615,0,3,5
3953,0,3,6
2919,0,3,7
5785,0,4,0
5742,0,4,1
5670,0,4,2
5168,0,4,3
4896,0,4,4
4355,0,4,5
3584,0,4,6
2780,0,4,7
4940,0,5,0
4736,0,5,1
4554,0,5,2
4422,0,5,3
4288,0,5,4
3840,0,5,5
3276,0,5,6
2502,0,5,7
4030,0,6,0
3900,0,6,1
3835,0,6,2
3762,0,6,3
3575,0,6,4
3315,0,6,5
3008,0,6,6
2064,0,6,7
3315,0,7,0
3185,0,7,1
3102,0,7,2
2970,0,7,3
2795,0,7,4
2624,0,7,5
2318,0,7,6
1935,0,7,7
2944,0,8,0
2860,0,8,1
2838,0,8,2
2706,0,8,3
2574,0,8,4
2340,0,8,5
2244,0,8,6
1806,0,8,7
2747,0,9,0
2613,0,9,1
2516,0,9,2
2448,0,9,3
2312,0,9,4
2144,0,9,5
1943,0,9,6
1612.5,0,9,7
12834,0,0,0
10395,0,0,1
9072,0,0,2
7986,0,0,3
7276,0,0,4
5740,0,0,5
4623,0,0,6
3266.5,0,0,7
9891,0,1,0
9009,0,1,1
7605,0,1,2
7169,0,1,3
6365,0,1,4
5293,0,1,5
4356,0,1,6
3127.5,0,1,7
8379,0,2,0
8160,0,2,1
7169,0,2,2
6762,0,2,3
6020,0,2,4
5244,0,2,5
4221,0,2,6
3058,0,2,7
6930,0,3,0
6825,0,3,1
6270,0,3,2
5848,0,3,3
5372,0,3,4
4686,0,3,5
3953,0,3,6
2919,0,3,7
5785,0,4,0
5742,0,4,1
5427,0,4,2
5092,0,4,3
4896,0,4,4
4355,0,4,5
3640,0,4,6
2780,0,4,7
4788,0,5,0
4736,0,5,1
4485,0,5,2
4422,0,5,3
4288,0,5,4
3900,0,5,5
3328,0,5,6
2502,0,5,7
3906,0,6,0
3840,0,6,1
3776,0,6,2
3705,0,6,3
3575,0,6,4
3315,0,6,5
3008,0,6,6
2064,0,6,7
3213,0,7,0
3136,0,7,1
3102,0,7,2
2970,0,7,3
2795,0,7,4
2665,0,7,5
2394,0,7,6
1935,0,7,7
2944,0,8,0
2860,0,8,1
2838,0,8,2
2706,0,8,3
2535,0,8,4
2376,0,8,5
2210,0,8,6
1806,0,8,7
2665,0,9,0
2613,0,9,1
2516,0,9,2
2412,0,9,3
2278,0,9,4
2112,0,9,5
1914,0,9,6
1612.5,0,9,7
12937.5,0,0,0
10477.5,0,0,1
9432,0,0,2
8107,0,0,3
7276,0,0,4
5453,0,0,5
4519.5,0,0,6
3266.5,0,0,7
9655.5,0,1,0
9080.5,0,1,1
7605,0,1,2
7115.5,0,1,3
6507.5,0,1,4
5253.5,0,1,5
4323,0,1,6
3127.5,0,1,7
8179.5,0,2,0
8040,0,2,1
7169,0,2,2
6811,0,2,3
6106,0,2,4
5320,0,2,5
4221,0,2,6
3058,0,2,7
6765,0,3,0
6825,0,3,1
6270,0,3,2
6020,0,3,3
5569.5,0,3,4
4970,0,3,5
3894,0,3,6
2919,0,3,7
5562.5,0,4,0
5655,0,4,1
5427,0,4,2
5320,0,4,3
5184,0,4,4
4485,0,4,5
3724,0,4,6
2780,0,4,7
4598,0,5,0
4736,0,5,1
4554,0,5,2
4522.5,0,5,3
4448,0,5,4
4050,0,5,5
3354,0,5,6
2502,0,5,7
3813,0,6,0
3750,0,6,1
3835,0,6,2
3790.5,0,6,3
3767.5,0,6,4
3391.5,0,6,5
3031.5,0,6,6
2064,0,6,7
3085.5,0,7,0
3111.5,0,7,1
3078.5,0,7,2
3082.5,0,7,3
2988.5,0,7,4
2767.5,0,7,5
2451,0,7,6
1935,0,7,7
2875,0,8,0
2750,0,8,1
2773.5,0,8,2
2849.5,0,8,3
2749.5,0,8,4
2448,0,8,5
2184.5,0,8,6
1806,0,8,7
2480.5,0,9,0
2379,0,9,1
2331,0,9,2
2394,0,9,3
2295,0,9,4
2128,0,9,5
1870.5,0,9,6
1612.5,0,9,7
12213,0,0,0
9900,0,0,1
8784,0,0,2
7562.5,0,0,3
6955,0,0,4
5248,0,0,5
4347,0,0,6
3313.5,0,0,7
9106,0,1,0
8508.5,0,1,1
7020,0,1,2
6848,0,1,3
6127.5,0,1,4
5056,0,1,5
4158,0,1,6
3172.5,0,1,7
7980,0,2,0
7500,0,2,1
6741,0,2,2
6468,0,2,3
5762,0,2,4
4940,0,2,5
4000.5,0,2,6
3102,0,2,7
6380,0,3,0
6562.5,0,3,1
5985,0,3,2
5676,0,3,3
5293,0,3,4
4615,0,3,5
3746.5,0,3,6
2961,0,3,7
5162,0,4,0
5481,0,4,1
5143.5,0,4,2
5016,0,4,3
4824,0,4,4
4257.5,0,4,5
3584,0,4,6
2820,0,4,7
4712,0,5,0
4699,0,5,1
4416,0,5,2
4388.5,0,5,3
4288,0,5,4
3810,0,5,5
3224,0,5,6
2538,0,5,7
3658,0,6,0
3720,0,6,1
3776,0,6,2
3648,0,6,3
3575,0,6,4
3238.5,0,6,5
2914,0,6,6
2096,0,6,7
2958,0,7,0
3087,0,7,1
2984.5,0,7,2
2970,0,7,3
2838,0,7,4
2665,0,7,5
2356,0,7,6
1965,0,7,7
2760,0,8,0
2794,0,8,1
2752,0,8,2
2726.5,0,8,3
2613,0,8,4
2358,0,8,5
2099.5,0,8,6
1834,0,8,7
2378,0,9,0
2281.5,0,9,1
2238.5,0,9,2
2304,0,9,3
2210,0,9,4
2048,0,9,5
1798,0,9,6
1637.5,0,9,7
12627,0,0,0
10230,0,0,1
8856,0,0,2
7925.5,0,0,3
7115.5,0,0,4
5371,0,0,5
4416,0,0,6
3313.5,0,0,7
9420,0,1,0
8866,0,1,1
7429.5,0,1,2
6955,0,1,3
6222.5,0,1,4
5135,0,1,5
4224,0,1,6
3172.5,0,1,7
7980,0,2,0
7860,0,2,1
7008.5,0,2,2
6664,0,2,3
5977,0,2,4
5054,0,2,5
4063.5,0,2,6
3102,0,2,7
6600,0,3,0
6667.5,0,3,1
6127.5,0,3,2
5891,0,3,3
5451,0,3,4
4721.5,0,3,5
3805.5,0,3,6
2961,0,3,7
5429,0,4,0
5524.5,0,4,1
5305.5,0,4,2
5206,0,4,3
5004,0,4,4
4322.5,0,4,5
3640,0,4,6
2820,0,4,7
4484,0,5,0
4625,0,5,1
4450.5,0,5,2
4422,0,5,3
4352,0,5,4
3900,0,5,5
3276,0,5,6
2538,0,5,7
3720,0,6,0
3660,0,6,1
3746.5,0,6,2
3705,0,6,3
3685,0,6,4
3315,0,6,5
2961,0,6,6
2096,0,6,7
3009,0,7,0
3038,0,7,1
3008,0,7,2
3015,0,7,3
2924,0,7,4
2706,0,7,5
2394,0,7,6
1965,0,7,7
2806,0,8,0
2684,0,8,1
2709,0,8,2
2788,0,8,3
2691,0,8,4
2394,0,8,5
2133.5,0,8,6
1834,0,8,7
2419,0,9,0
2320.5,0,9,1
2275.5,0,9,2
2340,0,9,3
2244,0,9,4
2080,0,9,5
1827,0,9,6
1637.5,0,9,7
12627,0,0,0
10065,0,0,1
9072,0,0,2
7865,0,0,3
7062,0,0,4
5330,0,0,5
4416,0,0,6
3313.5,0,0,7
9577,0,1,0
8866,0,1,1
7371,0,1,2
6955,0,1,3
6222.5,0,1,4
5135,0,1,5
4224,0,1,6
3172.5,0,1,7
8246,0,2,0
7860,0,2,1
6955,0,2,2
6566,0,2,3
5934,0,2,4
5016,0,2,5
4063.5,0,2,6
3102,0,2,7
6710,0,3,0
6720,0,3,1
6175,0,3,2
5848,0,3,3
5411.5,0,3,4
4686,0,3,5
3805.5,0,3,6
2961,0,3,7
5429,0,4,0
5611.5,0,4,1
5305.5,0,4,2
5168,0,4,3
4968,0,4,4
4322.5,0,4,5
3640,0,4,6
2820,0,4,7
4788,0,5,0
4773,0,5,1
4485,0,5,2
4455.5,0,5,3
4352,0,5,4
3870,0,5,5
3276,0,5,6
2538,0,5,7
3720,0,6,0
3780,0,6,1
3835,0,6,2
3705,0,6,3
3630,0,6,4
3289.5,0,6,5
2961,0,6,6
2096,0,6,7
3009,0,7,0
3136,0,7,1
3031.5,0,7,2
3015,0,7,3
2881,0,7,4
2706,0,7,5
2394,0,7,6
1965,0,7,7
2806,0,8,0
2838,0,8,1
2795,0,8,2
2767.5,0,8,3
2652,0,8,4
2394,0,8,5
2133.5,0,8,6
1834,0,8,7
2419,0,9,0
2320.5,0,9,1
2275.5,0,9,2
2340,0,9,3
2244,0,9,4
2080,0,9,5
1827,0,9,6
1637.5,0,9,7
12627,0,0,0
9900,0,0,1
8928,0,0,2
7744,0,0,3
7062,0,0,4
5330,0,0,5
4347,0,0,6
3313.5,0,0,7
9106,0,1,0
8580,0,1,1
7254,0,1,2
6901.5,0,1,3
6175,0,1,4
5056,0,1,5
4224,0,1,6
3172.5,0,1,7
8246,0,2,0
7860,0,2,1
6848,0,2,2
6468,0,2,3
5848,0,2,4
5016,0,2,5
4063.5,0,2,6
3102,0,2,7
6710,0,3,0
6615,0,3,1
6080,0,3,2
5676,0,3,3
5293,0,3,4
4544,0,3,5
3776,0,3,6
2961,0,3,7
5429,0,4,0
5568,0,4,1
5265,0,4,2
5054,0,4,3
4932,0,4,4
4225,0,4,5
3640,0,4,6
2820,0,4,7
4788,0,5,0
4773,0,5,1
4485,0,5,2
4422,0,5,3
4288,0,5,4
3900,0,5,5
3276,0,5,6
2538,0,5,7
3720,0,6,0
3780,0,6,1
3835,0,6,2
3705,0,6,3
3630,0,6,4
3289.5,0,6,5
2961,0,6,6
2096,0,6,7
3009,0,7,0
3136,0,7,1
3031.5,0,7,2
3015,0,7,3
2881,0,7,4
2706,0,7,5
2394,0,7,6
1965,0,7,7
2806,0,8,0
2838,0,8,1
2795,0,8,2
2767.5,0,8,3
2652,0,8,4
2394,0,8,5
2133.5,0,8,6
1834,0,8,7
2419,0,9,0
2320.5,0,9,1
2275.5,0,9,2
2340,0,9,3
2244,0,9,4
2080,0,9,5
1827,0,9,6
1637.5,0,9,7
11918,0,0,0
9222,0,0,1
8460,0,0,2
7502,0,0,3
6848,0,0,4
5330,0,0,5
4347,0,0,6
3313.5,0,0,7
8512,0,1,0
8120,0,1,1
6900,0,1,2
6687.5,0,1,3
5985,0,1,4
5056,0,1,5
4224,0,1,6
3172.5,0,1,7
7800,0,2,0
7620,0,2,1
6634,0,2,2
6272,0,2,3
5676,0,2,4
5016,0,2,5
4063.5,0,2,6
3102,0,2,7
6366.5,0,3,0
6273,0,3,1
5937.5,0,3,2
5676,0,3,3
5293,0,3,4
4473,0,3,5
3717,0,3,6
2961,0,3,7
5176.5,0,4,0
5312.5,0,4,1
5143.5,0,4,2
5054,0,4,3
4932,0,4,4
4160,0,4,5
3584,0,4,6
2820,0,4,7
4662,0,5,0
4644,0,5,1
4485,0,5,2
4422,0,5,3
4288,0,5,4
3900,0,5,5
3276,0,5,6
2538,0,5,7
3720,0,6,0
3780,0,6,1
3835,0,6,2
3705,0,6,3
3630,0,6,4
3289.5,0,6,5
2961,0,6,6
2096,0,6,7
3009,0,7,0
3136,0,7,1
3031.5,0,7,2
3015,0,7,3
2881,0,7,4
2706,0,7,5
2394,0,7,6
1965,0,7,7
2806,0,8,0
2838,0,8,1
2795,0,8,2
2767.5,0,8,3
2652,0,8,4
2394,0,8,5
2133.5,0,8,6
1834,0,8,7
2419,0,9,0
2320.5,0,9,1
2275.5,0,9,2
2340,0,9,3
2244,0,9,4
2080,0,9,5
1827,0,9,6
1637.5,0,9,7
11918,0,0,0
9222,0,0,1
8460,0,0,2
7502,0,0,3
6848,0,0,4
5330,0,0,5
4347,0,0,6
3313.5,0,0,7
8512,0,1,0
8120,0,1,1
6900,0,1,2
6687.5,0,1,3
5985,0,1,4
5056,0,1,5
4224,0,1,6
3172.5,0,1,7
7800,0,2,0
7620,0,2,1
6634,0,2,2
6272,0,2,3
5676,0,2,4
5016,0,2,5
4063.5,0,2,6
3102,0,2,7
6366.5,0,3,0
6273,0,3,1
5937.5,0,3,2
5676,0,3,3
5293,0,3,4
4473,0,3,5
3717,0,3,6
2961,0,3,7
5176.5,0,4,0
5312.5,0,4,1
5143.5,0,4,2
5054,0,4,3
4932,0,4,4
4160,0,4,5
3584,0,4,6
2820,0,4,7
4662,0,5,0
4644,0,5,1
4485,0,5,2
4422,0,5,3
4288,0,5,4
3900,0,5,5
3276,0,5,6
2538,0,5,7
3720,0,6,0
3780,0,6,1
3835,0,6,2
3705,0,6,3
3630,0,6,4
3289.5,0,6,5
2961,0,6,6
2096,0,6,7
3009,0,7,0
3136,0,7,1
3031.5,0,7,2
3015,0,7,3
2881,0,7,4
2706,0,7,5
2394,0,7,6
1965,0,7,7
2806,0,8,0
2838,0,8,1
2795,0,8,2
2767.5,0,8,3
2652,0,8,4
2394,0,8,5
2133.5,0,8,6
1834,0,8,7
2419,0,9,0
2320.5,0,9,1
2275.5,0,9,2
2340,0,9,3
2244,0,9,4
2080,0,9,5
1827,0,9,6
1637.5,0,9,7
11918,0,0,0
9540,0,0,1
8601,0,0,2
7623,0,0,3
6955,0,0,4
5248,0,0,5
4347,0,0,6
3266.5,0,0,7
8816,0,1,0
8330,0,1,1
7245,0,1,2
6741,0,1,3
6127.5,0,1,4
5056,0,1,5
4158,0,1,6
3127.5,0,1,7
7800,0,2,0
7560,0,2,1
6955,0,2,2
6468,0,2,3
5848,0,2,4
4940,0,2,5
4000.5,0,2,6
3058,0,2,7
6206,0,3,0
6528,0,3,1
6080,0,3,2
5762,0,3,3
5332.5,0,3,4
4615,0,3,5
3746.5,0,3,6
2919,0,3,7
5046,0,4,0
5440,0,4,1
5265,0,4,2
5016,0,4,3
4824,0,4,4
4225,0,4,5
3584,0,4,6
2780,0,4,7
4588,0,5,0
4644,0,5,1
4485,0,5,2
