Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,Month,Year,,,,,,
-25.0%,RO,D,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,E,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-25.0%,RO,F,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,G,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,H,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,I,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,J,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,K,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,L,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,M,IF,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.5%,RO,D,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,E,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,F,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,G,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,H,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-25.0%,RO,I,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,J,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,K,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,L,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,M,VVS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-31.0%,RO,D,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,E,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,F,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,G,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,H,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,I,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,J,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,K,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,L,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,M,VVS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,D,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,E,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,F,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,G,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-25.0%,RO,H,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,I,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,J,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-26.0%,RO,K,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,L,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-34.0%,RO,M,VS1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,D,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,E,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,F,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,G,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,H,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,I,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,J,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,K,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,L,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,M,VS2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,D,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,E,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,F,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-31.0%,RO,G,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,H,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,J,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,K,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,L,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,M,SI1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,D,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,E,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-34.0%,RO,F,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,G,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,H,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,J,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-32.0%,RO,K,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,L,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-33.0%,RO,M,SI2,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-24.0%,RO,D,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-25.0%,RO,E,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,F,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,G,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-29.0%,RO,H,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,I,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-27.0%,RO,J,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,K,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-28.0%,RO,L,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-30.0%,RO,M,I1,EX,EX,EX,None,1.01-1.09,June,2022,,,,,,
-40.0%,RO,D,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,E,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-34.0%,RO,F,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-31.0%,RO,G,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-35.0%,RO,H,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,I,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-31.0%,RO,J,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-32.0%,RO,K,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-30.0%,RO,L,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
-36.0%,RO,M,IF,EX,EX,EX,Faint,1.01-1.09,June,2022,,,,,,
