Status 3, Ref,STOCK_ID,ONLINE,OMS,STATUS,BOX,CERT_NO,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,RAP,RAP_VALUE,C_DISC,C_PRICE,C_VALUE,DISC,PRICE,VALUE,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_FROM,GIRDLE_TO,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,INSCRIPTION,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,LT,FMTS,C1T,REMARKS,OMS_REMARK,SALES_REMARK,DEMAND_STATUS,ASSORT_DATE,FACTORY_LOT_NO,MUM_SUBLOT_NO,KP_CERT_NO,AUDITABILITY_LEVEL,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,EXTRA1,EXTRA2,EXTRA3,EXTRA4,EXTRA5,BILL_NO,BILL_DATE,CONTROL_NO, Inv_Date, Inv_Party, Inv_By , Inv_Term,Inv_Dis,Inv_Pr,Inv_Val, Cbd, Cbr, Cbv, Tab_Inc,Status2,SIZE GR,PU GR,CO GR,CUT2,PO 2 ,SY 2,CUT FL,tentative rap,PRL Size,PRL Make,Code1,Code2,PRL DISC,Diff%,Days range,SZ 2,Cod Value,Cod pr,COD RAP,CO GR 2,MONTH,CL FOR ROUGH,mv,mv con,Doss 1ct,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_FROM,GIRDLE_TO,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,INSCRIPTION,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,LT,FMTS,C1T,REMARKS,OMS_REMARK,SALES_REMARK,DEMAND_STATUS,ASSORT_DATE,FACTORY_LOT_NO,MUM_SUBLOT_NO,KP_CERT_NO,AUDITABILITY_LEVEL,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,EXTRA1,EXTRA2,EXTRA3,EXTRA4,EXTRA5,BILL_NO,BILL_DATE,CONTROL_NO, Inv_Date, Inv_Party, Inv_By , Inv_Term,Inv_Dis,Inv_Pr,Inv_Val, Cbd, Cbr, Cbv, Tab_Inc,Status2,SIZE GR,PU GR,CO GR,CUT2,PO 2 ,SY 2,CUT FL,tentative rap,PRL Size,PRL Make,Code1,Code2,PRL DISC,Diff%,Days range,SZ 2,Cod Value,Cod pr,COD RAP,CO GR 2,MONTH,CL FOR ROUGH,mv,mv con,Doss 1ct
Sale,154,PDO1000054,Y,,M,Z_SOLD_2022,6412868722,GIA,RO,1,0.3,K,VS2,1500,450,-46,810,243,-35,975,292.5,VG,EX,VG,FNT,NN,NN,NN,NN,60.6,60,4.28,4.31,2.6,1.007,NN,NN,NN,NN,NN,Feather,,34,13.5,40.6,43,4.5,MED,STK,Polished,50,75,PTD,GIA 6412868722,,,N,DD,44572,154,K,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,Y,,GIA,,,,44572,KM226FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44562,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,289.44,964.8,-35.68,289.44,964.8,-35.68,,Sale,0.30-0.34,VS1-VS2,J-M,VG,X,VG,VGXVGFNT,,0.30-0.34,,0.30-0.34ROVS2,FNTK,CHK,#VALUE!,<180,0.30-0.39,243,964.8,-46,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.5,56,4.25,4.27,2.67,1.005,NN,NN,BT1,NN,NN,"Crystal, Cloud",,35.5,15.5,40.8,43,4,MED,STK,Polished,50,80,PTD,GIA 1415868934,,,N,DD,44574,152,E,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,,Y,,GIA,,,,44574,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44571,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,443.52,1478.4,-32.8,443.52,1478.4,-32.8,,964.8,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<180,<0.29,<180,1478.4,CHK,#N/A,JUNE'22,#N/A, ,964.8,Doss
Sale,152,PDO1000202,Y,,M,Z_SOLD_2022,1415868934,GIA,RO,1,0.3,E,SI1,2200,660,-45,1210,363,-35,1430,429,EX,EX,EX,NON,NN,NN,NN,NN,62.5,56,4.25,4.27,2.67,1.005,NN,NN,BT1,NN,NN,"Crystal, Cloud",,35.5,15.5,40.8,43,4,MED,STK,Polished,50,80,PTD,GIA 1415868934,,,N,DD,44574,152,E,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,,Y,,GIA,,,,44574,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44571,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,443.52,1478.4,-32.8,443.52,1478.4,-32.8,,Sale,0.30-0.34,SI1-SI2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROSI1,NONE,CHK,#VALUE!,<180,0.30-0.39,363,1478.4,-45,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.8,57,4.19,4.22,2.64,1.007,NN,NN,NN,BC2,NN,Crystal,,37,16,39.8,41.5,5,THK,THK,Polished,50,75,PTD,GIA 6412870671,,,N,DD,44569,152,D,SI2,OC1,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,,44569,KM264FMTQ21,,,,,,,,RUSSIAN FEDERATION,NURBA,,,,,,1.01E+11,44567,1.01E+11,44720,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0,292.56,975.2,-51.24,292.56,975.2,-51.24,,1478.4,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<180,<0.29,<180,975.2,CHK,#N/A,JUNE'22,#N/A, ,1478.4,Doss
Sale,152,PDO1000440,Y,,A,Z_SOLD_2022,6412870671,GIA,RO,1,0.3,D,SI2,2000,600,-50,1000,300,-40,1200,360,VG,VG,VG,NON,NN,NN,NN,NN,62.8,57,4.19,4.22,2.64,1.007,NN,NN,NN,BC2,NN,Crystal,,37,16,39.8,41.5,5,THK,THK,Polished,50,75,PTD,GIA 6412870671,,,N,DD,44569,152,D,SI2,OC1,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,,44569,KM264FMTQ21,,,,,,,,RUSSIAN FEDERATION,NURBA,,,,,,1.01E+11,44567,1.01E+11,44720,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0,292.56,975.2,-51.24,292.56,975.2,-51.24,,Sale,0.30-0.34,SI1-SI2,D-F,VG,VG,VG,VGVGVGNON,,0.30-0.34,,0.30-0.34ROSI2,NOND,CHK,#VALUE!,<180,0.30-0.39,300,975.2,-50,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.5,57,4.27,4.29,2.67,1.005,NN,NN,NN,BC1,NN,Crystal,,35.5,15.5,40.8,43,4,MED,STK,Polished,50,80,PTD,GIA 2417955313,,,N,DD,44574,152,D,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,,N,,GIA,,,,44574,KM253TQ21,,,,,,,,RUSSIAN FEDERATION,UNKNOWN,,,,,,1.01E+11,44571,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,443.8,1479.333333,-35.68115942,443.8,1479.333333,-35.68115942,,975.2,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<180,<0.29,<180,1479.333333,CHK,#N/A,JUNE'22,#N/A, ,975.2,Doss
Sale,152,PDO1000788,Y,,M,Z_SOLD_2022,2417955313,GIA,RO,1,0.3,D,SI1,2300,690,-46,1242,372.6,-36,1472,441.6,EX,EX,VG,NON,NN,NN,NN,NN,62.5,57,4.27,4.29,2.67,1.005,NN,NN,NN,BC1,NN,Crystal,,35.5,15.5,40.8,43,4,MED,STK,Polished,50,80,PTD,GIA 2417955313,,,N,DD,44574,152,D,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,,N,,GIA,,,,44574,KM253TQ21,,,,,,,,RUSSIAN FEDERATION,UNKNOWN,,,,,,1.01E+11,44571,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,443.8,1479.333333,-35.68115942,443.8,1479.333333,-35.68115942,,Sale,0.30-0.34,SI1-SI2,D-F,X,X,VG,XXVGNON,,0.30-0.34,,0.30-0.34ROSI1,NOND,CHK,#VALUE!,<180,0.30-0.39,372.6,1479.333333,-46,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.5,57,4.26,4.28,2.67,1.005,NN,NN,BT1+,NN,NN,"Crystal, Feather, Cloud",,36,15.5,40.6,42.5,4,MED,STK,Polished,50,80,PTD,GIA 6411953391,,,N,DD,44576,150,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,N,,GIA,,,,44576,KM252TQ21,,,,,,,,SOUTH AFRICA,UNKNOWN,,,,,,1.01E+11,44572,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,483.84,1612.8,-32.8,483.84,1612.8,-32.8,,1479.333333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<150,<0.29,<180,1612.8,CHK,#N/A,JUNE'22,#N/A, ,1479.333333,Doss
Sale,150,PDO1001063,Y,,M,Z_SOLD_2022,6411953391,GIA,RO,1,0.3,E,VS2,2400,720,-43,1368,410.4,-33,1608,482.4,EX,EX,EX,NON,NN,NN,NN,NN,62.5,57,4.26,4.28,2.67,1.005,NN,NN,BT1+,NN,NN,"Crystal, Feather, Cloud",,36,15.5,40.6,42.5,4,MED,STK,Polished,50,80,PTD,GIA 6411953391,,,N,DD,44576,150,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,N,,GIA,,,,44576,KM252TQ21,,,,,,,,SOUTH AFRICA,UNKNOWN,,,,,,1.01E+11,44572,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,483.84,1612.8,-32.8,483.84,1612.8,-32.8,,Sale,0.30-0.34,VS1-VS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVS2,NONE,CHK,#VALUE!,<150,0.30-0.39,410.4,1612.8,-43,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.5,58,4.26,4.29,2.67,1.007,NN,NN,NN,BC1,NN,Crystal,,35.5,15,41,43.5,4,MED,STK,Polished,50,75,PTD,GIA 2414969643,,,N,DD,44577,149,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,Y,,GIA,,,,44577,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44573,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,483.84,1612.8,-32.8,483.84,1612.8,-32.8,,1612.8,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<150,<0.29,<150,1612.8,CHK,#N/A,JUNE'22,#N/A, ,1612.8,Doss
Sale,149,PDO1001580,Y,,M,Z_SOLD_2022,2414969643,GIA,RO,1,0.3,E,VS2,2400,720,-44,1344,403.2,-34,1584,475.2,EX,EX,EX,NON,NN,NN,NN,NN,62.5,58,4.26,4.29,2.67,1.007,NN,NN,NN,BC1,NN,Crystal,,35.5,15,41,43.5,4,MED,STK,Polished,50,75,PTD,GIA 2414969643,,,N,DD,44577,149,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,Y,,GIA,,,,44577,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44573,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,483.84,1612.8,-32.8,483.84,1612.8,-32.8,,Sale,0.30-0.34,VS1-VS2,D-F,X,X,X,XXXNON,,0.30-0.34,,0.30-0.34ROVS2,NONE,CHK,#VALUE!,<150,0.30-0.39,403.2,1612.8,-44,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NA,64.6,59,4.15,4.21,2.7,1.014,NN,NN,BT1,NN,NN,Feather,,36,15,41.6,44.5,5,STK,THK,Faceted,50,75,PTD,GIA 2417969637,,,N,DD,44577,144,E,SI2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,DEMAND,44577,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44573,1.01E+11,44720,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0,269.72,899.0666667,-52.68070175,269.72,899.0666667,-52.68070175,,1612.8,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17X,#N/A,CHK,#VALUE!,<150,<0.29,<150,899.0666667,CHK,#N/A,JUNE'22,#N/A, ,1612.8,Doss
Sale,144,PDO1001930,Y,,A,Z_SOLD_2022,2417969637,GIA,RO,1,0.3,E,SI2,1900,570,-53,893,267.9,-43,1083,324.9,VG,EX,VG,NON,NN,NA,NA,NA,64.6,59,4.15,4.21,2.7,1.014,NN,NN,BT1,NN,NN,Feather,,36,15,41.6,44.5,5,STK,THK,Faceted,50,75,PTD,GIA 2417969637,,,N,DD,44577,144,E,SI2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,DEMAND,44577,KM272FMDBCOOTQ21,,,,,,,,AGGREGATE,UNKNOWN,,,,,,1.01E+11,44573,1.01E+11,44720,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0,269.72,899.0666667,-52.68070175,269.72,899.0666667,-52.68070175,,Sale,0.30-0.34,SI1-SI2,D-F,VG,X,VG,VGXVGNON,,0.30-0.34,,0.30-0.34ROSI2,NONE,CHK,#VALUE!,<150,0.30-0.39,267.9,899.0666667,-53,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NA,61,64,4.25,4.28,2.6,1.007,NN,NN,NN,NN,NN,Feather,,32.5,11.5,41.4,44,5.5,STK,THK,Faceted,45,75,PTD,GIA 7416971973,,,N,DD,44579,139,J,VS2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,N,GIA,,,DEMAND,44579,KM251TQ21,,,,,,,,SOUTH AFRICA,,,,,,,1.01E+11,44573,1.01E+11,44715,Sun Rays,Sun Rays,30,280.48,934.9333333,-45.00392157,277.74,925.8,-45.54117647,,899.0666667,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<150,<0.29,<150,925.8,CHK,#N/A,JUNE'22,#N/A, ,899.0666667,Doss
Sale,139,PDO1002189,Y,,A,Z_SOLD_2022,7416971973,GIA,RO,1,0.3,J,VS2,1700,510,-49,867,260.1,-38,1054,316.2,VG,EX,VG,FNT,NN,NA,NA,NA,61,64,4.25,4.28,2.6,1.007,NN,NN,NN,NN,NN,Feather,,32.5,11.5,41.4,44,5.5,STK,THK,Faceted,45,75,PTD,GIA 7416971973,,,N,DD,44579,139,J,VS2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,N,GIA,,,DEMAND,44579,KM251TQ21,,,,,,,,SOUTH AFRICA,,,,,,,1.01E+11,44573,1.01E+11,44715,Sun Rays,Sun Rays,30,280.48,934.9333333,-45.00392157,277.74,925.8,-45.54117647,,Sale,0.30-0.34,VS1-VS2,J-M,VG,X,VG,VGXVGFNT,,0.30-0.34,,0.30-0.34ROVS2,FNTJ,CHK,#VALUE!,<150,0.30-0.39,260.1,925.8,-49,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,62.5,58,4.25,4.28,2.67,1.007,NN,NN,NN,NN,NN,"Manufacturing Remnant, Indented Natural, Feather",,35.5,15,41.2,43.5,4,MED,STK,Polished,50,80,PTD,GIA 2414978547,,,N,DD,44580,138,K,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,,44580,KM274FMTQ21,,,,,,,,RUSSIAN FEDERATION,ANABAR,,,,,,1.01E+11,44574,1.01E+11,44715,Sun Rays,Sun Rays,30,286.18,953.9333333,-47.0037037,283.38,944.6,-47.52222222,,925.8,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<150,<0.29,<150,944.6,CHK,#N/A,JUNE'22,#N/A, ,925.8,Doss
Sale,138,PDO1002496,Y,,A,Z_SOLD_2022,2414978547,GIA,RO,1,0.3,K,VVS1,1800,540,-49,918,275.4,-38,1116,334.8,EX,EX,VG,NON,NN,NN,NN,NN,62.5,58,4.25,4.28,2.67,1.007,NN,NN,NN,NN,NN,"Manufacturing Remnant, Indented Natural, Feather",,35.5,15,41.2,43.5,4,MED,STK,Polished,50,80,PTD,GIA 2414978547,,,N,DD,44580,138,K,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,Y,N,GIA,,,,44580,KM274FMTQ21,,,,,,,,RUSSIAN FEDERATION,ANABAR,,,,,,1.01E+11,44574,1.01E+11,44715,Sun Rays,Sun Rays,30,286.18,953.9333333,-47.0037037,283.38,944.6,-47.52222222,,Sale,0.30-0.34,IF-VVS2,J-M,X,X,VG,XXVGNON,,0.30-0.34,,0.30-0.34ROVVS1,NONK,CHK,#VALUE!,<150,0.30-0.39,275.4,944.6,-49,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,63.9,53,4.2,4.21,2.69,1.002,NN,NN,NN,NN,NN,Cloud,,36,17,40,42,5,STK,THK,Polished,45,75,PTD,GIA 1425110432,,,N,DD,44646,72,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,N,GIA,,,,44646,E21720G-JVSUPGPS,,,,,,,,,AGGREGATE,,,,,,,,1.01E+11,44715,Sun Rays,Sun Rays,30,333.87,1112.9,-47.0047619,330.61,1102.033333,-47.52222222,,944.6,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<90,<0.29,<150,1102.033333,CHK,#N/A,JUNE'22,#N/A, ,944.6,Doss
Sale,72,PDO1004526,Y,,A,Z_SOLD_2022,1425110432,GIA,RO,1,0.3,F,SI1,2100,630,-48,1092,327.6,-38,1302,390.6,VG,VG,VG,NON,NN,NN,NN,NN,63.9,53,4.2,4.21,2.69,1.002,NN,NN,NN,NN,NN,Cloud,,36,17,40,42,5,STK,THK,Polished,45,75,PTD,GIA 1425110432,,,N,DD,44646,72,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,N,GIA,,,,44646,E21720G-JVSUPGPS,,,,,,,,,AGGREGATE,,,,,,,,1.01E+11,44715,Sun Rays,Sun Rays,30,333.87,1112.9,-47.0047619,330.61,1102.033333,-47.52222222,,Sale,0.30-0.34,SI1-SI2,D-F,VG,VG,VG,VGVGVGNON,,0.30-0.34,,0.30-0.34ROSI1,NONF,CHK,#VALUE!,<90,0.30-0.39,327.6,1102.033333,-48,#N/A,JUNE'22,#N/A,old stock,Sale,Doss,NN,61.9,60,4.25,4.29,2.64,1.009,NN,NN,NN,NN,NN,"Pinpoint, Cloud, Surface Graining",,35.5,14.5,41,43.5,4,MED,STK,Polished,50,75,PTD,GIA 6411997028,,,N,DD,44596,130,G,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,,N,,GIA,,,,44596,KM249TQ21,,,,,,,,SOUTH AFRICA,UNKNOWN,,,,,,1.01E+11,44579,1.01E+11,44725,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0,483.84,1612.8,-32.8,483.84,1612.8,-32.8,,1102.033333,<0.17,#N/A,#N/A,FALSE,#N/A,FALSE,#N/A,,<0.17,,<0.17VG,#N/A,CHK,#VALUE!,<150,<0.29,<90,1612.8,CHK,#N/A,JUNE'22,#N/A, ,1102.033333,Doss
