C_DISC,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,FMTS,C1T,REMARKS,DEMAND_STATUS,ASSORT_DATE,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE, Inv_Date, Inv_Party, Inv_By , Inv_Term
-46,GIA,RO,1,0.3,K,VS2,VG,EX,VG,FNT,NN,NN,NN,NN,60.6,60,4.28,4.31,2.6,1.007,NN,NN,NN,NN,NN,Feather,,34,13.5,40.6,43,4.5,Polished,50,75,PTD,,,N,DD,11-01-2022,154,K,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,11-01-2022,,,,,AGGREGATE,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-45,GIA,RO,1,0.3,E,SI1,EX,EX,EX,NON,NN,NN,NN,NN,62.5,56,4.25,4.27,2.67,1.005,NN,NN,BT1,NN,NN,"Crystal, Cloud",,35.5,15.5,40.8,43,4,Polished,50,80,PTD,,,N,DD,13-01-2022,152,E,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,13-01-2022,,,,,AGGREGATE,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-50,GIA,RO,1,0.3,D,SI2,VG,VG,VG,NON,NN,NN,NN,NN,62.8,57,4.19,4.22,2.64,1.007,NN,NN,NN,BC2,NN,Crystal,,37,16,39.8,41.5,5,Polished,50,75,PTD,,,N,DD,08-01-2022,152,D,SI2,OC1,NN,NN,NN,NN,NN,NN,NN,N,N,Y,N,GIA,,08-01-2022,,,,,RUSSIAN FEDERATION,NURBA,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-46,GIA,RO,1,0.3,D,SI1,EX,EX,VG,NON,NN,NN,NN,NN,62.5,57,4.27,4.29,2.67,1.005,NN,NN,NN,BC1,NN,Crystal,,35.5,15.5,40.8,43,4,Polished,50,80,PTD,,,N,DD,13-01-2022,152,D,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,13-01-2022,,,,,RUSSIAN FEDERATION,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-43,GIA,RO,1,0.3,E,VS2,EX,EX,EX,NON,NN,NN,NN,NN,62.5,57,4.26,4.28,2.67,1.005,NN,NN,BT1+,NN,NN,"Crystal, Feather, Cloud",,36,15.5,40.6,42.5,4,Polished,50,80,PTD,,,N,DD,15-01-2022,150,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,15-01-2022,,,,,SOUTH AFRICA,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-44,GIA,RO,1,0.3,E,VS2,EX,EX,EX,NON,NN,NN,NN,NN,62.5,58,4.26,4.29,2.67,1.007,NN,NN,NN,BC1,NN,Crystal,,35.5,15,41,43.5,4,Polished,50,75,PTD,,,N,DD,16-01-2022,149,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,16-01-2022,,,,,AGGREGATE,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-53,GIA,RO,1,0.3,E,SI2,VG,EX,VG,NON,NN,NA,NA,NA,64.6,59,4.15,4.21,2.7,1.014,NN,NN,BT1,NN,NN,Feather,,36,15,41.6,44.5,5,Faceted,50,75,PTD,,,N,DD,16-01-2022,144,E,SI2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,Y,N,GIA,DEMAND,16-01-2022,,,,,AGGREGATE,UNKNOWN,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-49,GIA,RO,1,0.3,J,VS2,VG,EX,VG,FNT,NN,NA,NA,NA,61,64,4.25,4.28,2.6,1.007,NN,NN,NN,NN,NN,Feather,,32.5,11.5,41.4,44,5.5,Faceted,45,75,PTD,,,N,DD,18-01-2022,139,J,VS2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,DEMAND,18-01-2022,,,,,SOUTH AFRICA,,03-06-2022,Sun Rays,Sun Rays,30
-49,GIA,RO,1,0.3,K,VVS1,EX,EX,VG,NON,NN,NN,NN,NN,62.5,58,4.25,4.28,2.67,1.007,NN,NN,NN,NN,NN,"Manufacturing Remnant, Indented Natural, Feather",,35.5,15,41.2,43.5,4,Polished,50,80,PTD,,,N,DD,19-01-2022,138,K,VVS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,Y,N,GIA,,19-01-2022,,,,,RUSSIAN FEDERATION,ANABAR,03-06-2022,Sun Rays,Sun Rays,30
-48,GIA,RO,1,0.3,F,SI1,VG,VG,VG,NON,NN,NN,NN,NN,63.9,53,4.2,4.21,2.69,1.002,NN,NN,NN,NN,NN,Cloud,,36,17,40,42,5,Polished,45,75,PTD,,,N,DD,26-03-2022,72,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,,26-03-2022,,,,,,AGGREGATE,03-06-2022,Sun Rays,Sun Rays,30
-42,GIA,RO,1,0.3,G,VVS2,EX,EX,EX,FNT,NN,NN,NN,NN,61.9,60,4.25,4.29,2.64,1.009,NN,NN,NN,NN,NN,"Pinpoint, Cloud, Surface Graining",,35.5,14.5,41,43.5,4,Polished,50,75,PTD,,,N,DD,04-02-2022,130,G,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,04-02-2022,,,,,SOUTH AFRICA,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,GIA,RO,1,0.3,F,VS2,EX,EX,VG,NON,NN,NN,NN,NN,61.5,59,4.27,4.31,2.64,1.009,NN,NN,BT1+,NN,NN,"Twinning Wisp, Crystal, Cloud",,35.5,14.5,40.6,42.5,4,Polished,50,75,PTD,,,N,DD,22-01-2022,143,F,VS2,OT1,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,22-01-2022,,,,,SOUTH AFRICA,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,GIA,RO,1,0.3,G,SI1,EX,EX,VG,FNT,NN,NN,NN,NN,61.5,55,4.3,4.32,2.65,1.005,NN,NN,NN,BC2,NN,Crystal,,34,15,41,43,3.5,Polished,50,75,PTD,,,N,DD,22-01-2022,143,G,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,22-01-2022,,,,,RUSSIAN FEDERATION,ALROSA,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,GIA,RO,1,0.3,F,SI1,VG,EX,VG,NON,NN,NA,NA,NA,63.9,53,4.19,4.21,2.69,1.005,NN,NN,NN,BC1,NN,Crystal,,35.5,16.5,40,42,5.5,Faceted,50,75,PTD,,,N,DD,02-02-2022,127,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,DEMAND,02-02-2022,,,,,KOIN,CUANGO,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-49,GIA,RO,1,0.3,J,SI1,EX,EX,EX,FNT,NN,NN,NN,NN,62.5,58,4.26,4.29,2.67,1.007,B1,NN,BT1+,NN,NN,Cloud,,35.5,15,41.2,43.5,4,Polished,50,80,PTD,,,N,DD,02-02-2022,132,J,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,02-02-2022,,,,,UNKNOWN,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-48,GIA,RO,1,0.3,D,SI1,EX,EX,VG,NON,NN,NA,NA,NA,62.1,58,4.25,4.28,2.65,1.007,NN,NN,BT1+,NN,NN,"Twinning Wisp, Feather, Knot",,35.5,15,40.8,43,4,Faceted,50,80,PTD,,,N,DD,04-02-2022,122,D,SI1,OT1,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,NON-DEMND,04-02-2022,,,,,SOUTH AFRICA,,03-06-2022,Sun Rays,Sun Rays,30
-50,GIA,RO,1,0.3,I,VS1,EX,EX,EX,FNT,NN,NN,NN,NN,62,58,4.28,4.3,2.66,1.005,B1,NN,NN,NN,NN,"Feather, Pinpoint",,36,15.5,40.8,43,4,Polished,50,80,PTD,,,N,DD,05-02-2022,129,I,VS1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,05-02-2022,,,,,RUSSIAN FEDERATION,ALROSA,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-47,GIA,RO,1,0.3,E,VS2,EX,EX,EX,FNT,NN,NN,NN,NN,62.3,55,4.28,4.31,2.68,1.007,NN,NN,NN,NN,NN,"Twinning Wisp, Feather",,36,16,40.6,42.5,3.5,Polished,50,80,PTD,,,N,DD,05-02-2022,129,E,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,05-02-2022,,,,,KOIN,CUANGO,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-50,GIA,RO,1,0.3,G,SI2,VG,EX,VG,NON,NN,SI2,NN,NN,62.4,58,4.21,4.25,2.64,1.01,NN,NN,BT1+,NN,NN,Cloud,,36,15.5,40.2,42,5,Polished,50,75,PTD,,,N,DD,10-02-2022,116,G,SI2,OT1,NN,NN,NN,NN,NN,NN,NN,N,N,Y,N,GIA,NON-DEMAND,10-02-2022,,,,,RUSSIAN FEDERATION,ANABAR,03-06-2022,Sun Rays,Sun Rays,30
-67,GIA,RO,1,0.3,D,SI2,VG,EX,VG,FNT,NN,NN,NN,NN,61.5,56,4.26,4.29,2.63,1.007,NN,M1,NN,NN,NN,"Cloud, Crystal, Feather",,34,15,40.2,42,4.5,Polished,50,75,PTD,,,N,DD,10-02-2022,116,D,SI2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,,10-02-2022,,,,,KOIN,CUANGO,04-06-2022,Nivoda LLP,Nivoda LLP,7
-53,GIA,RO,1,0.3,F,SI1,EX,EX,EX,NON,NN,NN,NN,NN,62.7,55,4.25,4.29,2.68,1.009,NN,M1,NN,NN,NN,Cloud,,36.5,16.5,40.6,42.5,3.5,Polished,50,80,PTD,,,N,DD,10-02-2022,119,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,10-02-2022,,,,,,AGGREGATE,08-06-2022,Sheel Gems,Sheel Gems,75
-53,GIA,RO,1,0.3,D,VS2,EX,EX,VG,FNT,NN,NN,NN,NN,61.5,55,4.3,4.31,2.65,1.002,NN,NN,NN,NN,NN,"Feather, Crystal",,34.5,15.5,40.8,43,3.5,Polished,50,80,PTD,,,N,DD,09-02-2022,125,D,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,09-02-2022,,,,,RUSSIAN FEDERATION,NURBA,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-60,GIA,RO,1,0.3,F,SI1,VG,EX,VG,NON,NN,NN,NN,NN,63.2,57,4.21,4.24,2.67,1.007,NN,M1,NN,NN,NN,Cloud,,38.5,17,40,41.5,4.5,Polished,50,75,PTD,,,N,DD,10-02-2022,119,F,SI1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,10-02-2022,,,,,,DTC-DBGSS,08-06-2022,Sheel Gems,Sheel Gems,75
-50,GIA,RO,1,0.3,M,VS1,EX,VG,EX,FNT,NN,NN,NN,NN,61,57,4.32,4.34,2.64,1.005,B1,NN,NN,NN,NN,"Feather, Needle",,34,14.5,40.8,43,3.5,Polished,50,75,PTD,,,Y,DD,10-02-2022,124,M,VS1,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,10-02-2022,,,,,UNKNOWN,UNKNOWN,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-44,GIA,RO,1,0.3,F,VS1,EX,VG,EX,NON,NN,NN,NN,NN,62.2,58,4.27,4.3,,1.007,NN,NN,NN,NN,NN,Feather,,36,15.5,40.8,0.43,0.04,Polished,,,PTD,,,N,DD,10-03-2022,96,F,VS1,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,GIA,,10-03-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-50,GIA,RO,1,0.3,D,VS2,VG,EX,VG,NON,NN,NA,NA,NA,64.1,57,4.17,4.19,2.68,1.005,NN,NN,BT1,NN,NN,"Crystal, Needle",,37.5,16.5,40.4,42.5,5.5,Faceted,50,75,PTD,,,N,DD,10-03-2022,88,D,VS2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,NON-DEMND,10-03-2022,,,,,UNKNOWN,UNKNOWN,03-06-2022,Sun Rays,Sun Rays,30
-40,GIA,RO,1,0.3,D,SI2,EX,EX,EX,NON,NN,NA,NA,NA,63.1,55,4.24,4.27,2.68,1.007,NN,NN,NN,BC1,NN,"Crystal, Cloud",,36.5,17,40.6,43,3.5,Faceted,50,80,PTD,,,N,DD,10-03-2022,88,D,SI2,NN,NN,NN,NN,NN,NN,NN,NN,N,N,Y,N,GIA,DEMAND,10-03-2022,,,,,RUSSIAN FEDERATION,ALROSA,03-06-2022,Sun Rays,Sun Rays,30
-49,GIA,RO,1,0.3,J,VS1,VG,EX,VG,MED,NN,NN,NN,NN,64,58,4.17,4.23,2.69,1.014,NN,NN,NN,BC1,NN,"Cloud, Crystal, Feather",,37,16,40.8,43,5,Polished,50,75,PTD,,,N,DD,06-03-2022,92,J,VS1,NN,NN,NN,NN,NN,NN,NN,NN,N,N,N,N,GIA,,06-03-2022,,,,,UNKNOWN,UNKNOWN,03-06-2022,Sun Rays,Sun Rays,30
-52,GIA,RO,1,0.3,I,VVS2,EX,EX,EX,MED,BLUE,NN,NN,NN,62.5,56,4.27,4.3,2.68,1.007,B1,M1,NN,NN,WC1,"Needle, Pinpoint, Cloud, Internal Graining",,35.5,15.5,40.8,43,4,Polished,45,80,PTD,Y,Y,N,DD,10-03-2022,91,I,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,N,,GIA,,10-03-2022,,,,,ZIMBABWE,MUROWA,08-06-2022,Sheel Gems,Sheel Gems,75
-56,GIA,RO,1,0.3,K,VS1,VG,EX,VG,NON,NN,NA,NA,NA,64.5,57,4.18,4.22,2.71,1.01,B1,M1,NN,NN,WT1,"Feather, Pinpoint, Cloud, Indented Natural",,36.5,16,40.8,43,5.5,Faceted,50,75,PTD,Y,N,N,DD,10-03-2022,91,K,VS1,NN,NN,ING,NN,NN,NN,NN,NN,,,Y,,GIA,NON-DEMND,10-03-2022,,,,,"BOTSWANA,SOUTH AFRICA,CANADA,NAMIBIA",AGGREGATE,08-06-2022,Sheel Gems,Sheel Gems,75
-36.54,FACT,RO,1,0.3,F,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,61.3,58,4.29,4.31,,1.005,NN,NN,NN,NN,NN,,,34,14.5,40.6,43,4,Polished,,,PTD,,,,,24-02-2022,104,F,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,CL,,24-02-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,06-06-2022,Caratlane Trading Pvt. Ltd.,Caratlane Trading Pvt. Ltd.,7
-33,FM,RO,1,0.3,H,VVS2,EX,EX,EX,NON,NN,NN,NN,NN,61.9,56,4.3,4.32,,1.005,NN,NN,NN,NN,NN,"Needle, Pinpoint, Cloud",,35.5,15.5,40.8,43,3.5,Polished,,,PTD,,,N,DD,26-03-2022,69,H,VVS2,NN,NN,NN,NN,NN,NN,NN,NN,,,Y,,MBMGFM - FM108302-22,,26-03-2022,,,,,BOTSWANA;SOUTH AFRICA;CANADA;NAMIBIA,AGGREGATE,02-06-2022,MBMG Diamonds Pvt. Ltd.,MBMG Diamonds Pvt. Ltd.,30
-33.04,IIDGR,RO,1,0.3,F,VS2,EX,EX,EX,NON,NN,NN,NN,NN,62.9,55.1,4.25,4.27,,1.005,NN,NN,NN,NN,NN,"Cloud, Crystal",,35,16.4,40.8,42.7,3.8,Polished,,,,,,N,,23-03-2022,78,F,VS2,NN,NN,NN,NN,NN,NN,NN,NN,,N,N,,H&A12,,23-03-2022,,,,,RUSSIAN FEDERATION,ANABAR,08-06-2022,Diarough N. V.,Diarough Sourcing S. A.,90
