C_DISC,CERT,SHAPE,PCS,WEIGHT,COLOR,CLARITY,CUT,POL,SY,FLUO,FLUO_COLOR,FANCY_COLOR,FANCY_INTENSITY,FANCY_OVERTONE,TD,TABL,MIN_DIAM,MAX_DIAM,HEIGHT,RATIO,COL_SHADE,MILKY,TABLE_BLACK,SIDE_BLACK,WHT_INC,KEY_TO_SYMBOL,CERT_COMMENTS,CR_ANGLE,CR_HEIGHT,PV_ANGLE,PV_DEPTH,GIRDLE_PERCENTAGE,GIRDLE_CONDITION,STAR_LENGTH,LOWER_HALF,CULET,EYE_CLEAN,TABLE_CLEAN,HA,CERT_TYPE,CERT_DATE,REF_DAYS,INTERNAL_COLOR,INTERNAL_CLARITY,OPEN,NATURAL,INTENDED_NATURAL,CAVITY,CHIP,EXTRA_FACET,GRAINING,CUT_COMMENTS,AM,PCR,FMTS,C1T,DEMAND_STATUS,ASSORT_DATE,,COUNTRY_OF_ORIGIN_MINE_ORIGIN,MINING_CO_NAME,MINING_CO_DESCRIPTION,SOURCE_CO,SOURCE_COUNTRY,SOURCE_MINE,, Inv_Date, Inv_Party, Inv_By , Inv_Term
-46,3,6,1,0.3,3,4,3,1,3,1,2,10,2,2,60.6,60,4.28,4.31,2.6,1.007,4,4,4,5,1,Feather,,34,13.5,40.6,43,4.5,2,50,75,2,,,1,1,11-01-2022,154,3,5,1,3,5,4,3,3,4,3,,,2,,,11-01-2022,,,,,,AGGREGATE,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-45,3,6,1,0.3,9,6,1,1,1,3,3,10,2,2,62.5,56,4.25,4.27,2.67,1.005,4,4,1,5,1,"Crystal, Cloud",,35.5,15.5,40.8,43,4,2,50,80,2,,,1,1,13-01-2022,152,9,6,1,3,5,4,3,3,4,3,,,2,,,13-01-2022,,,,,,AGGREGATE,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-50,3,6,1,0.3,10,7,3,3,3,3,2,10,2,2,62.8,57,4.19,4.22,2.64,1.007,4,4,4,3,1,Crystal,,37,16,39.8,41.5,5,2,50,75,2,,,1,1,08-01-2022,152,10,7,2,3,5,4,3,3,4,3,2,1,2,1,,08-01-2022,,,,,,RUSSIAN FEDERATION,NURBA,,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-46,3,6,1,0.3,10,6,1,1,3,3,2,10,2,2,62.5,57,4.27,4.29,2.67,1.005,4,4,4,1,1,Crystal,,35.5,15.5,40.8,43,4,2,50,80,2,,,1,1,13-01-2022,152,10,6,1,3,5,4,3,3,4,3,,,1,,,13-01-2022,,,,,,RUSSIAN FEDERATION,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-43,3,6,1,0.3,9,4,1,1,1,3,2,10,2,2,62.5,57,4.26,4.28,2.67,1.005,4,4,2,5,1,"Crystal, Feather, Cloud",,36,15.5,40.6,42.5,4,2,50,80,2,,,1,1,15-01-2022,150,9,5,1,3,5,4,3,3,4,3,,,1,,,15-01-2022,,,,,,SOUTH AFRICA,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-44,3,6,1,0.3,9,4,1,1,1,3,2,10,2,2,62.5,58,4.26,4.29,2.67,1.007,4,4,4,1,1,Crystal,,35.5,15,41,43.5,4,2,50,75,2,,,1,1,16-01-2022,149,9,5,1,3,5,4,3,3,4,3,,,2,,,16-01-2022,,,,,,AGGREGATE,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-53,3,6,1,0.3,9,7,3,1,3,3,2,11,1,1,64.6,59,4.15,4.21,2.7,1.014,4,4,1,5,1,Feather,,36,15,41.6,44.5,5,1,50,75,2,,,1,1,16-01-2022,144,9,7,1,3,5,4,3,3,4,3,2,1,2,1,1,16-01-2022,,,,,,AGGREGATE,UNKNOWN,,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-49,3,6,1,0.3,4,4,3,1,3,2,2,11,1,1,61,64,4.25,4.28,2.6,1.007,4,4,4,5,1,Feather,,32.5,11.5,41.4,44,5.5,1,45,75,2,,,1,1,18-01-2022,139,4,5,1,3,5,4,3,3,4,3,2,1,1,1,1,18-01-2022,,,,,,SOUTH AFRICA,,,03-06-2022,Sun Rays,Sun Rays,30
-49,3,6,1,0.3,3,2,1,1,3,3,2,10,2,2,62.5,58,4.25,4.28,2.67,1.007,4,4,4,5,1,"Manufacturing Remnant, Indented Natural, Feather",,35.5,15,41.2,43.5,4,2,50,80,2,,,1,1,19-01-2022,138,3,2,1,3,5,4,3,3,4,3,2,1,2,1,,19-01-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,03-06-2022,Sun Rays,Sun Rays,30
-48,3,6,1,0.3,8,6,3,3,3,3,2,10,2,2,63.9,53,4.2,4.21,2.69,1.002,4,4,4,5,1,Cloud,,36,17,40,42,5,2,45,75,2,,,1,1,26-03-2022,72,8,6,1,3,5,4,3,3,4,3,2,1,1,1,,26-03-2022,,,,,,,AGGREGATE,,03-06-2022,Sun Rays,Sun Rays,30
-42,3,6,1,0.3,7,3,1,1,1,1,2,10,2,2,61.9,60,4.25,4.29,2.64,1.009,4,4,4,5,1,"Pinpoint, Cloud, Surface Graining",,35.5,14.5,41,43.5,4,2,50,75,2,,,1,1,04-02-2022,130,7,3,1,3,5,4,3,3,4,3,,,1,,,04-02-2022,,,,,,SOUTH AFRICA,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,3,6,1,0.3,8,4,1,1,3,3,2,10,2,2,61.5,59,4.27,4.31,2.64,1.009,4,4,2,5,1,"Twinning Wisp, Crystal, Cloud",,35.5,14.5,40.6,42.5,4,2,50,75,2,,,1,1,22-01-2022,143,8,5,6,3,5,4,3,3,4,3,,,1,,,22-01-2022,,,,,,SOUTH AFRICA,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,3,6,1,0.3,7,6,1,1,3,1,2,10,2,2,61.5,55,4.3,4.32,2.65,1.005,4,4,4,3,1,Crystal,,34,15,41,43,3.5,2,50,75,2,,,1,1,22-01-2022,143,7,6,1,3,5,4,3,3,4,3,,,2,,,22-01-2022,,,,,,RUSSIAN FEDERATION,ALROSA,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-49,3,6,1,0.3,8,6,3,1,3,3,2,11,1,1,63.9,53,4.19,4.21,2.69,1.005,4,4,4,1,1,Crystal,,35.5,16.5,40,42,5.5,1,50,75,2,,,1,1,02-02-2022,127,8,6,1,3,5,4,3,3,4,3,2,1,1,1,1,02-02-2022,,,,,,KOIN,CUANGO,,08-06-2022,Chinastar Trade (Hong Kong) Limited,Chinastar Trade (Hong Kong) Limited,0
-49,3,6,1,0.3,4,6,1,1,1,1,2,10,2,2,62.5,58,4.26,4.29,2.67,1.007,1,4,2,5,1,Cloud,,35.5,15,41.2,43.5,4,2,50,80,2,,,1,1,02-02-2022,132,4,6,1,3,5,4,3,3,4,3,,,1,,,02-02-2022,,,,,,UNKNOWN,UNKNOWN,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-48,3,6,1,0.3,10,6,1,1,3,3,2,11,1,1,62.1,58,4.25,4.28,2.65,1.007,4,4,2,5,1,"Twinning Wisp, Feather, Knot",,35.5,15,40.8,43,4,1,50,80,2,,,1,1,04-02-2022,122,10,6,6,3,5,4,3,3,4,3,2,1,1,1,2,04-02-2022,,,,,,SOUTH AFRICA,,,03-06-2022,Sun Rays,Sun Rays,30
-50,3,6,1,0.3,5,4,1,1,1,1,2,10,2,2,62,58,4.28,4.3,2.66,1.005,1,4,4,5,1,"Feather, Pinpoint",,36,15.5,40.8,43,4,2,50,80,2,,,1,1,05-02-2022,129,5,4,1,3,5,4,3,3,4,3,,,2,,,05-02-2022,,,,,,RUSSIAN FEDERATION,ALROSA,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-47,3,6,1,0.3,9,4,1,1,1,1,2,10,2,2,62.3,55,4.28,4.31,2.68,1.007,4,4,4,5,1,"Twinning Wisp, Feather",,36,16,40.6,42.5,3.5,2,50,80,2,,,1,1,05-02-2022,129,9,5,1,3,5,4,3,3,4,3,,,1,,,05-02-2022,,,,,,KOIN,CUANGO,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
-50,3,6,1,0.3,7,7,3,1,3,3,2,9,2,2,62.4,58,4.21,4.25,2.64,1.01,4,4,2,5,1,Cloud,,36,15.5,40.2,42,5,2,50,75,2,,,1,1,10-02-2022,116,7,7,6,3,5,4,3,3,4,3,2,1,2,1,2,10-02-2022,,,,,,RUSSIAN FEDERATION,ANABAR,,03-06-2022,Sun Rays,Sun Rays,30
-67,3,6,1,0.3,10,7,3,1,3,1,2,10,2,2,61.5,56,4.26,4.29,2.63,1.007,4,1,4,5,1,"Cloud, Crystal, Feather",,34,15,40.2,42,4.5,2,50,75,2,,,1,1,10-02-2022,116,10,7,1,3,5,4,3,3,4,3,2,1,1,1,,10-02-2022,,,,,,KOIN,CUANGO,,04-06-2022,Nivoda LLP,Nivoda LLP,7
-53,3,6,1,0.3,8,6,1,1,1,3,2,10,2,2,62.7,55,4.25,4.29,2.68,1.009,4,1,4,5,1,Cloud,,36.5,16.5,40.6,42.5,3.5,2,50,80,2,,,1,1,10-02-2022,119,8,6,1,3,5,4,3,3,4,3,,,2,,,10-02-2022,,,,,,,AGGREGATE,,08-06-2022,Sheel Gems,Sheel Gems,75
-53,3,6,1,0.3,10,4,1,1,3,1,2,10,2,2,61.5,55,4.3,4.31,2.65,1.002,4,4,4,5,1,"Feather, Crystal",,34.5,15.5,40.8,43,3.5,2,50,80,2,,,1,1,09-02-2022,125,10,5,1,3,5,4,3,3,4,3,,,2,,,09-02-2022,,,,,,RUSSIAN FEDERATION,NURBA,,13-06-2022,Diarough (Hong Kong) Ltd.,Diarough Sourcing S. A.,0
