SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
0.30-0.34 XXX NON,IF,D,-40,2,66,63%,0, ,-38,74,-39,16,-37,-39,-37,-38,-38,2%,1,-32,-30,-37,-36,-35,-35,-35,,
,VVS1,D,-38,1,47,14%,2, ,-34,82,-37,27,-35,-38,-36,-37,-37,-23%,1,-29,-29,-35,-35,-32,-32,-33,,19%
,VVS2,D,-38,1,47,3%,8, ,-27,61,-37,52,-36,-39,-37,-37,-37,-16%,0,-32,-29,-36,-34,-31,-33,-31,,6%
,VS1,D,-38,0,52,6%,7, ,-33,211,-36,64,-36,-38,-37,-37,-37,-18%,1,-32,-30,-35,-34,-35,-32,0,,8%
,VS2,D,-41,-1,70,11%,19, ,-36,68,-41,94,-38,-42,-39,-40,-40,-12%,1,-33,-30,-34,-35,-35,-32,0,,13%
,SI1,D,-41,-1,53, ,26, , , ,-41,46,-39,-43,-40,-40,-41,-3%,1,-35,-33,-31,-32,-38,-34,-28,,8%
,SI2,D,-41,-1,47,50%,29, ,-40,321,-40,127,-38,-44,-40,-40,-41,-4%,-2,-32,-33,-34,-32,-37,-33,0,,13%
,IF,E,-36,-1,21,29%,0, ,-28,66,-37,38,-33,-38,-34,-35,-35,-38%,1,-31,-31,0,-33,-32,-35,0,19%,
,VVS1,E,-35,0,24,89%,0, ,-29,42,-35,8,-30,-35,-32,-33,-34,-37%,2,-29,-28,-35,-31,-24,0,-32,3%,3%
,VVS2,E,-39,1,53,75%,3,-38,-27,56,-42,6,-37,-43,-38,-38,-39,-22%,1,-31,0,-36,-34,-32,-35,-35,8%,11%
,VS1,E,-40,-1,66, ,6, , , ,-40,97,-38,-41,-38,-39,-39,-7%,0,-31,-30,-34,-34,-34,-32,-32,12%,12%
,VS2,E,-42,0,63,7%,15, ,-33,200,-41,109,-40,-43,-42,-43,-43,-4%,-2,-34,-32,-33,-35,-36,-34,-32,4%,6%
,SI1,E,-43,0,58, ,33, , , ,-41,78,-41,-48,-42,-43,-43,-2%,-2,-33,-33,-34,-32,-40,-34,-28,6%,10%
,SI2,E,-44,-2,54, ,15, , , ,-46,151,-40,-44,-40,-41,-41,0%,0,-26,0,-34,0,-34,-33,-24,12%,18%
,IF,F,-38,0,27, ,0, ,-34,55, , ,-34,-38,-35,-36,-36,-12%,2,-32,-36,-37,-28,-34,-33,-34,5%,
,VVS1,F,-36,-1,30,88%,0, ,-29,64,-37,14,-34,-37,-35,-35,-35,-14%,1,-32,-19,-34,-34,-30,0,-32,6%,5%
,VVS2,F,-37,0,49,84%,5,-37,-29,46,-37,7,-36,-37,-36,-36,-36,-22%,1,-33,0,-34,-33,-31,-33,-33,2%,7%
,VS1,F,-39,-1,63,9%,5, ,-39,96,-39,99,-37,-41,-38,-38,-39,-8%,1,-31,-29,-33,-34,-33,-31,-34,2%,12%
,VS2,F,-40,-2,62, ,17, , , ,-41,113,-39,-43,-40,-40,-40,-8%,1,-33,-31,-33,-34,-35,-34,-32,4%,7%
,SI1,F,-41,-1,55,40%,26, ,-42,143,-40,105,-40,-45,-42,-42,-43,-7%,-2,-33,-31,-32,-31,-38,-35,-30,3%,9%
,SI2,F,-43,-2,55,25%,9, ,-45,200,-45,111,-38,-43,-39,-39,-40,-2%,-1,-24,-31,-31,0,-36,-32,0,4%,19%
,IF,G,-41,0,43,67%,0, ,-40,63,-41,39,-38,-42,-39,-40,-40,-2%,1,-37,-37,-38,-39,-37,-36,-35,11%,
,VVS1,G,-38,0,38, ,0, , , ,-38,28,-37,-39,-37,-37,-38,-14%,0,-33,-34,-34,-38,-33,-33,-33,9%,2%
