Price per carat,Clarity,Colour,CO,Month,Year,Size
8136.75,0,0,0,0,2017,0
6723.75,1,0,0,0,2017,0
4830.5,2,0,0,0,2017,0
3092.75,3,0,0,0,2017,0
5683.666667,0,1,1,0,2017,0
5039.666667,1,1,1,0,2017,0
3937.166667,2,1,1,0,2017,0
2733.666667,3,1,1,0,2017,0
2706.75,0,2,2,0,2017,0
2510,1,2,2,0,2017,0
2167.75,2,2,2,0,2017,0
1709.25,3,2,2,0,2017,0
11069.25,0,0,0,0,2017,1
8745.75,1,0,0,0,2017,1
6223.75,2,0,0,0,2017,1
3611.25,3,0,0,0,2017,1
7177.333333,0,1,1,0,2017,1
6450.166667,1,1,1,0,2017,1
5238.333333,2,1,1,0,2017,1
3173.833333,3,1,1,0,2017,1
3177.5,0,2,2,0,2017,1
2893.5,1,2,2,0,2017,1
2554.25,2,2,2,0,2017,1
1965,3,2,2,0,2017,1
16685,0,0,0,0,2017,2
12486.25,1,0,0,0,2017,2
8231.25,2,0,0,0,2017,2
4300.5,3,0,0,0,2017,2
10497.5,0,1,1,0,2017,2
8869.833333,1,1,1,0,2017,2
6609.166667,2,1,1,0,2017,2
3854,3,1,1,0,2017,2
4350,0,2,2,0,2017,2
3780,1,2,2,0,2017,2
3165.75,2,2,2,0,2017,2
2194.25,3,2,2,0,2017,2
3505.5,0,3,2,0,2017,0
3275.5,1,3,2,0,2017,0
2816.25,2,3,2,0,2017,0
1999.5,3,3,2,0,2017,0
4462,0,3,2,0,2017,1
4062.25,1,3,2,0,2017,1
3502.75,2,3,2,0,2017,1
2390.75,3,3,2,0,2017,1
6095,0,3,2,0,2017,2
5171.25,1,3,2,0,2017,2
4331.25,2,3,2,0,2017,2
2914.75,3,3,2,0,2017,2
7985.75,0,0,0,1,2017,0
6579,1,0,0,1,2017,0
4778.5,2,0,0,1,2017,0
3092.75,3,0,0,1,2017,0
5580.833333,0,1,1,1,2017,0
4986.333333,1,1,1,1,2017,0
3977,2,1,1,1,2017,0
2733.666667,3,1,1,1,2017,0
2706.75,0,2,2,1,2017,0
2482.75,1,2,2,1,2017,0
2153,2,2,2,1,2017,0
1709.25,3,2,2,1,2017,0
10976.25,0,0,0,1,2017,1
8646.25,1,0,0,1,2017,1
6176.25,2,0,0,1,2017,1
3611.25,3,0,0,1,2017,1
7158.666667,0,1,1,1,2017,1
6402,1,1,1,1,2017,1
5218.666667,2,1,1,1,2017,1
3173.833333,3,1,1,1,2017,1
3177.5,0,2,2,1,2017,1
2905,1,2,2,1,2017,1
2574.75,2,2,2,1,2017,1
1965,3,2,2,1,2017,1
16573.75,0,0,0,1,2017,2
12382.5,1,0,0,1,2017,2
8231.25,2,0,0,1,2017,2
4300.5,3,0,0,1,2017,2
10443.33333,0,1,1,1,2017,2
8952.333333,1,1,1,1,2017,2
6650.833333,2,1,1,1,2017,2
3854,3,1,1,1,2017,2
4436,0,2,2,1,2017,2
3840,1,2,2,1,2017,2
3253.75,2,2,2,1,2017,2
2194.25,3,2,2,1,2017,2
3463.5,0,3,2,1,2017,0
3261.25,1,3,2,1,2017,0
2845.5,2,3,2,1,2017,0
1999.5,3,3,2,1,2017,0
4495,0,3,2,1,2017,1
4076.5,1,3,2,1,2017,1
3499.75,2,3,2,1,2017,1
2390.75,3,3,2,1,2017,1
6045,0,3,2,1,2017,2
5230,1,3,2,1,2017,2
4415,2,3,2,1,2017,2
2914.75,3,3,2,1,2017,2
7973.625,0,0,0,3,2017,0
6635,1,0,0,3,2017,0
4779.375,2,0,0,3,2017,0
3092.75,3,0,0,3,2017,0
5577.833333,0,1,1,3,2017,0
5177.333333,1,1,1,3,2017,0
4079.5,2,1,1,3,2017,0
2733.666667,3,1,1,3,2017,0
2558.375,0,2,2,3,2017,0
2572,1,2,2,3,2017,0
2157.75,2,2,2,3,2017,0
1709.25,3,2,2,3,2017,0
10320.75,0,0,0,3,2017,1
8882.5,1,0,0,3,2017,1
6035,2,0,0,3,2017,1
3560.75,3,0,0,3,2017,1
7022.166667,0,1,1,3,2017,1
6573.333333,1,1,1,3,2017,1
5184.916667,2,1,1,3,2017,1
3127.5,3,1,1,3,2017,1
3070.875,0,2,2,3,2017,1
2976.75,1,2,2,3,2017,1
2618.8125,2,2,2,3,2017,1
1935,3,2,2,3,2017,1
16386.25,0,0,0,3,2017,2
13014.375,1,0,0,3,2017,2
8103.75,2,0,0,3,2017,2
4239.5,3,0,0,3,2017,2
10286.25,0,1,1,3,2017,2
9149.5,1,1,1,3,2017,2
6759.166667,2,1,1,3,2017,2
3799.333333,3,1,1,3,2017,2
4290.625,0,2,2,3,2017,2
4112.5,1,2,2,3,2017,2
3311.125,2,2,2,3,2017,2
2160.75,3,2,2,3,2017,2
3443.75,0,3,2,3,2017,0
3407.25,1,3,2,3,2017,0
2910.375,2,3,2,3,2017,0
1999.5,3,3,2,3,2017,0
4244.75,0,3,2,3,2017,1
4070,1,3,2,3,2017,1
3468.375,2,3,2,3,2017,1
2354.25,3,3,2,3,2017,1
5759.5,0,3,2,3,2017,2
5455,1,3,2,3,2017,2
4503.125,2,3,2,3,2017,2
2870.25,3,3,2,3,2017,2
7442.375,0,0,0,4,2017,0
6301.375,1,0,0,4,2017,0
4538.625,2,0,0,4,2017,0
3137.25,3,0,0,4,2017,0
5381.166667,0,1,1,4,2017,0
4914.25,1,1,1,4,2017,0
3872.833333,2,1,1,4,2017,0
2773,3,1,1,4,2017,0
2516.5,0,2,2,4,2017,0
2463.375,1,2,2,4,2017,0
2075.875,2,2,2,4,2017,0
1735.75,3,2,2,4,2017,0
9794.25,0,0,0,4,2017,1
8505.375,1,0,0,4,2017,1
5796.875,2,0,0,4,2017,1
3611.25,3,0,0,4,2017,1
6732.75,0,1,1,4,2017,1
6256.25,1,1,1,4,2017,1
4939.083333,2,1,1,4,2017,1
3173.833333,3,1,1,4,2017,1
2948.375,0,2,2,4,2017,1
2853.5,1,2,2,4,2017,1
2493.4375,2,2,2,4,2017,1
1965,3,2,2,4,2017,1
15510.625,0,0,0,4,2017,2
12080,1,0,0,4,2017,2
7780.625,2,0,0,4,2017,2
4300.5,3,0,0,4,2017,2
9839.166667,0,1,1,4,2017,2
8529.75,1,1,1,4,2017,2
6418.333333,2,1,1,4,2017,2
3854,3,1,1,4,2017,2
4119.375,0,2,2,4,2017,2
3930,1,2,2,4,2017,2
3185.5,2,2,2,4,2017,2
2194.25,3,2,2,4,2017,2
3391.875,0,3,2,4,2017,0
3257.75,1,3,2,4,2017,0
2793.375,2,3,2,4,2017,0
2030.5,3,3,2,4,2017,0
4077.25,0,3,2,4,2017,1
3932.25,1,3,2,4,2017,1
3349.5,2,3,2,4,2017,1
2390.75,3,3,2,4,2017,1
5532.625,0,3,2,4,2017,2
5172.5,1,3,2,4,2017,2
4377.5,2,3,2,4,2017,2
2914.75,3,3,2,4,2017,2
7791,0,0,0,5,2017,0
6454.625,1,0,0,5,2017,0
4619.125,2,0,0,5,2017,0
3137.25,3,0,0,5,2017,0
5450.083333,0,1,1,5,2017,0
5054.333333,1,1,1,5,2017,0
3944.25,2,1,1,5,2017,0
2773,3,1,1,5,2017,0
2497.25,0,2,2,5,2017,0
2515.75,1,2,2,5,2017,0
2108.625,2,2,2,5,2017,0
1735.75,3,2,2,5,2017,0
10254,0,0,0,5,2017,1
8684.125,1,0,0,5,2017,1
5954.375,2,0,0,5,2017,1
3611.25,3,0,0,5,2017,1
6906.5,0,1,1,5,2017,1
6406.083333,1,1,1,5,2017,1
5071.583333,2,1,1,5,2017,1
3173.833333,3,1,1,5,2017,1
2997.375,0,2,2,5,2017,1
2910.375,1,2,2,5,2017,1
2559.1875,2,2,2,5,2017,1
1965,3,2,2,5,2017,1
16066.25,0,0,0,5,2017,2
12628.125,1,0,0,5,2017,2
8006.875,2,0,0,5,2017,2
4300.5,3,0,0,5,2017,2
10111.66667,0,1,1,5,2017,2
8895.25,1,1,1,5,2017,2
6605,2,1,1,5,2017,2
3854,3,1,1,5,2017,2
4187.875,0,2,2,5,2017,2
4022.5,1,2,2,5,2017,2
3235.75,2,2,2,5,2017,2
2194.25,3,2,2,5,2017,2
3363.125,0,3,2,5,2017,0
3332.25,1,3,2,5,2017,0
2844,2,3,2,5,2017,0
2030.5,3,3,2,5,2017,0
4144.25,0,3,2,5,2017,1
3995.25,1,3,2,5,2017,1
3403.25,2,3,2,5,2017,1
2390.75,3,3,2,5,2017,1
5623.375,0,3,2,5,2017,2
5335,1,3,2,5,2017,2
4446.25,2,3,2,5,2017,2
2914.75,3,3,2,5,2017,2
7763,0,0,0,6,2017,0
6419.375,1,0,0,6,2017,0
4609.625,2,0,0,6,2017,0
3137.25,3,0,0,6,2017,0
5511.666667,0,1,1,6,2017,0
5033.833333,1,1,1,6,2017,0
3933.333333,2,1,1,6,2017,0
2773,3,1,1,6,2017,0
2557.25,0,2,2,6,2017,0
2500.875,1,2,2,6,2017,0
2108.625,2,2,2,6,2017,0
1735.75,3,2,2,6,2017,0
10236.75,0,0,0,6,2017,1
8700.5,1,0,0,6,2017,1
5889.375,2,0,0,6,2017,1
3611.25,3,0,0,6,2017,1
6934.5,0,1,1,6,2017,1
6413.666667,1,1,1,6,2017,1
5016.916667,2,1,1,6,2017,1
3173.833333,3,1,1,6,2017,1
2997.375,0,2,2,6,2017,1
2897.75,1,2,2,6,2017,1
2533.1875,2,2,2,6,2017,1
1965,3,2,2,6,2017,1
16135.625,0,0,0,6,2017,2
12495,1,0,0,6,2017,2
7956.25,2,0,0,6,2017,2
4300.5,3,0,0,6,2017,2
10082.5,0,1,1,6,2017,2
8781.583333,1,1,1,6,2017,2
6557.916667,2,1,1,6,2017,2
3854,3,1,1,6,2017,2
4187.875,0,2,2,6,2017,2
3990,1,2,2,6,2017,2
3235.75,2,2,2,6,2017,2
2194.25,3,2,2,6,2017,2
3445.625,0,3,2,6,2017,0
3307.75,1,3,2,6,2017,0
2837.625,2,3,2,6,2017,0
2030.5,3,3,2,6,2017,0
4144.25,0,3,2,6,2017,1
3993.75,1,3,2,6,2017,1
3403.25,2,3,2,6,2017,1
2390.75,3,3,2,6,2017,1
5623.375,0,3,2,6,2017,2
5252.5,1,3,2,6,2017,2
4446.25,2,3,2,6,2017,2
2914.75,3,3,2,6,2017,2
7635.5,0,0,0,7,2017,0
6348.125,1,0,0,7,2017,0
4589.875,2,0,0,7,2017,0
3137.25,3,0,0,7,2017,0
5464.333333,0,1,1,7,2017,0
4944.166667,1,1,1,7,2017,0
3893.5,2,1,1,7,2017,0
2773,3,1,1,7,2017,0
2557.25,0,2,2,7,2017,0
2500.875,1,2,2,7,2017,0
2108.625,2,2,2,7,2017,0
1735.75,3,2,2,7,2017,0
10083,0,0,0,7,2017,1
8623.5,1,0,0,7,2017,1
5869.375,2,0,0,7,2017,1
3611.25,3,0,0,7,2017,1
6809.75,0,1,1,7,2017,1
6325.666667,1,1,1,7,2017,1
4959.916667,2,1,1,7,2017,1
3173.833333,3,1,1,7,2017,1
2997.375,0,2,2,7,2017,1
2897.75,1,2,2,7,2017,1
2533.1875,2,2,2,7,2017,1
1965,3,2,2,7,2017,1
15956.875,0,0,0,7,2017,2
12329.375,1,0,0,7,2017,2
7855,2,0,0,7,2017,2
4300.5,3,0,0,7,2017,2
10055,0,1,1,7,2017,2
8635.416667,1,1,1,7,2017,2
6538.333333,2,1,1,7,2017,2
3854,3,1,1,7,2017,2
4187.875,0,2,2,7,2017,2
3990,1,2,2,7,2017,2
3235.75,2,2,2,7,2017,2
2194.25,3,2,2,7,2017,2
3445.625,0,3,2,7,2017,0
3307.75,1,3,2,7,2017,0
2837.625,2,3,2,7,2017,0
2030.5,3,3,2,7,2017,0
4144.25,0,3,2,7,2017,1
3993.75,1,3,2,7,2017,1
3403.25,2,3,2,7,2017,1
2390.75,3,3,2,7,2017,1
5623.375,0,3,2,7,2017,2
5252.5,1,3,2,7,2017,2
4446.25,2,3,2,7,2017,2
2914.75,3,3,2,7,2017,2
7318.5,0,0,0,8,2017,0
6155.125,1,0,0,8,2017,0
4589.875,2,0,0,8,2017,0
3137.25,3,0,0,8,2017,0
5299.25,0,1,1,8,2017,0
4944.166667,1,1,1,8,2017,0
3851.666667,2,1,1,8,2017,0
2773,3,1,1,8,2017,0
2557.25,0,2,2,8,2017,0
2500.875,1,2,2,8,2017,0
2108.625,2,2,2,8,2017,0
1735.75,3,2,2,8,2017,0
9762,0,0,0,8,2017,1
8359,1,0,0,8,2017,1
5869.375,2,0,0,8,2017,1
3611.25,3,0,0,8,2017,1
6676.5,0,1,1,8,2017,1
6285.416667,1,1,1,8,2017,1
4870.5,2,1,1,8,2017,1
3173.833333,3,1,1,8,2017,1
2997.375,0,2,2,8,2017,1
2897.75,1,2,2,8,2017,1
2533.1875,2,2,2,8,2017,1
1965,3,2,2,8,2017,1
15446.875,0,0,0,8,2017,2
11949.375,1,0,0,8,2017,2
7855,2,0,0,8,2017,2
4300.5,3,0,0,8,2017,2
9859.166667,0,1,1,8,2017,2
8581.166667,1,1,1,8,2017,2
6421.666667,2,1,1,8,2017,2
3854,3,1,1,8,2017,2
4187.875,0,2,2,8,2017,2
3990,1,2,2,8,2017,2
3235.75,2,2,2,8,2017,2
2194.25,3,2,2,8,2017,2
3445.625,0,3,2,8,2017,0
3307.75,1,3,2,8,2017,0
2837.625,2,3,2,8,2017,0
2030.5,3,3,2,8,2017,0
4110.25,0,3,2,8,2017,1
3901.5,1,3,2,8,2017,1
3322.625,2,3,2,8,2017,1
2390.75,3,3,2,8,2017,1
5576.375,0,3,2,8,2017,2
5132.5,1,3,2,8,2017,2
4343.125,2,3,2,8,2017,2
2914.75,3,3,2,8,2017,2
7318.5,0,0,0,9,2017,0
6155.125,1,0,0,9,2017,0
4589.875,2,0,0,9,2017,0
3137.25,3,0,0,9,2017,0
5299.25,0,1,1,9,2017,0
4944.166667,1,1,1,9,2017,0
3851.666667,2,1,1,9,2017,0
2773,3,1,1,9,2017,0
2557.25,0,2,2,9,2017,0
2500.875,1,2,2,9,2017,0
2108.625,2,2,2,9,2017,0
1735.75,3,2,2,9,2017,0
9762,0,0,0,9,2017,1
8359,1,0,0,9,2017,1
5869.375,2,0,0,9,2017,1
3611.25,3,0,0,9,2017,1
6676.5,0,1,1,9,2017,1
6285.416667,1,1,1,9,2017,1
4870.5,2,1,1,9,2017,1
3173.833333,3,1,1,9,2017,1
2997.375,0,2,2,9,2017,1
2897.75,1,2,2,9,2017,1
2533.1875,2,2,2,9,2017,1
1965,3,2,2,9,2017,1
15446.875,0,0,0,9,2017,2
11949.375,1,0,0,9,2017,2
7855,2,0,0,9,2017,2
4300.5,3,0,0,9,2017,2
9859.166667,0,1,1,9,2017,2
8581.166667,1,1,1,9,2017,2
