Price per Carat,Size,Colour,Clarity,Month,Year,Rapper
,1.01-1.09,D,IF,Jul,2026,-38
,1.01-1.09,D,VVS1,Jul,2026,-37
,1.01-1.09,D,VVS2,Jul,2026,-35
,1.01-1.09,D,VS1,Jul,2026,-34
,1.01-1.09,D,VS2,Jul,2026,-33
,1.01-1.09,D,SI1,Jul,2026,-32
,1.01-1.09,D,SI2,Jul,2026,-34
,1.01-1.09,D,I1,Jul,2026,-30.5
,1.01-1.09,E,IF,Jul,2026,-40
,1.01-1.09,E,VVS1,Jul,2026,-37
,1.01-1.09,E,VVS2,Jul,2026,-35.5
,1.01-1.09,E,VS1,Jul,2026,-34
,1.01-1.09,E,VS2,Jul,2026,-33
,1.01-1.09,E,SI1,Jul,2026,-33
,1.01-1.09,E,SI2,Jul,2026,-34
,1.01-1.09,E,I1,Jul,2026,-30.5
,1.01-1.09,F,IF,Jul,2026,-40
,1.01-1.09,F,VVS1,Jul,2026,-32
,1.01-1.09,F,VVS2,Jul,2026,-33
,1.01-1.09,F,VS1,Jul,2026,-29
,1.01-1.09,F,VS2,Jul,2026,-28
,1.01-1.09,F,SI1,Jul,2026,-31
,1.01-1.09,F,SI2,Jul,2026,-34
,1.01-1.09,F,I1,Jul,2026,-30.5
,1.01-1.09,G,IF,Jul,2026,-41
,1.01-1.09,G,VVS1,Jul,2026,-34
,1.01-1.09,G,VVS2,Jul,2026,-32.5
,1.01-1.09,G,VS1,Jul,2026,-28
,1.01-1.09,G,VS2,Jul,2026,-28
,1.01-1.09,G,SI1,Jul,2026,-30
,1.01-1.09,G,SI2,Jul,2026,-32.5
,1.01-1.09,G,I1,Jul,2026,-30.5
,1.01-1.09,H,IF,Jul,2026,-40
,1.01-1.09,H,VVS1,Jul,2026,-34
,1.01-1.09,H,VVS2,Jul,2026,-31
,1.01-1.09,H,VS1,Jul,2026,-29.5
,1.01-1.09,H,VS2,Jul,2026,-29
,1.01-1.09,H,SI1,Jul,2026,-30
,1.01-1.09,H,SI2,Jul,2026,-32
,1.01-1.09,H,I1,Jul,2026,-30.5
,1.01-1.09,I,IF,Jul,2026,-38
,1.01-1.09,I,VVS1,Jul,2026,-33
,1.01-1.09,I,VVS2,Jul,2026,-32
,1.01-1.09,I,VS1,Jul,2026,-28
,1.01-1.09,I,VS2,Jul,2026,-28
,1.01-1.09,I,SI1,Jul,2026,-30
,1.01-1.09,I,SI2,Jul,2026,-33.5
,1.01-1.09,I,I1,Jul,2026,-30.5
,1.01-1.09,J,IF,Jul,2026,-38
,1.01-1.09,J,VVS1,Jul,2026,-33
,1.01-1.09,J,VVS2,Jul,2026,-32
,1.01-1.09,J,VS1,Jul,2026,-28
,1.01-1.09,J,VS2,Jul,2026,-28
,1.01-1.09,J,SI1,Jul,2026,-29
,1.01-1.09,J,SI2,Jul,2026,-32
,1.01-1.09,J,I1,Jul,2026,-35.5
,1.01-1.09,K,IF,Jul,2026,-37
,1.01-1.09,K,VVS1,Jul,2026,-32
,1.01-1.09,K,VVS2,Jul,2026,-31
,1.01-1.09,K,VS1,Jul,2026,-28
,1.01-1.09,K,VS2,Jul,2026,-27
,1.01-1.09,K,SI1,Jul,2026,-30
,1.01-1.09,K,SI2,Jul,2026,-32
,1.01-1.09,K,I1,Jul,2026,-35.5
,1.01-1.09,L,IF,Jul,2026,-35
,1.01-1.09,L,VVS1,Jul,2026,-31
,1.01-1.09,L,VVS2,Jul,2026,-29
,1.01-1.09,L,VS1,Jul,2026,-27
,1.01-1.09,L,VS2,Jul,2026,-27
,1.01-1.09,L,SI1,Jul,2026,-28
,1.01-1.09,L,SI2,Jul,2026,-32
,1.01-1.09,L,I1,Jul,2026,-35.5
,1.01-1.09,M,IF,Jul,2026,-36
,1.01-1.09,M,VVS1,Jul,2026,-30
,1.01-1.09,M,VVS2,Jul,2026,-30
,1.01-1.09,M,VS1,Jul,2026,-27
,1.01-1.09,M,VS2,Jul,2026,-27
,1.01-1.09,M,SI1,Jul,2026,-30
,1.01-1.09,M,SI2,Jul,2026,-33
,1.01-1.09,M,I1,Jul,2026,-35.5
,1.01-1.09,D,IF,Aug,2026,-38
,1.01-1.09,D,VVS1,Aug,2026,-37
,1.01-1.09,D,VVS2,Aug,2026,-35
,1.01-1.09,D,VS1,Aug,2026,-34
,1.01-1.09,D,VS2,Aug,2026,-33
,1.01-1.09,D,SI1,Aug,2026,-32
,1.01-1.09,D,SI2,Aug,2026,-34
,1.01-1.09,D,I1,Aug,2026,-30.5
,1.01-1.09,E,IF,Aug,2026,-40
,1.01-1.09,E,VVS1,Aug,2026,-37
,1.01-1.09,E,VVS2,Aug,2026,-35.5
